## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   1.7873e-01   2.8591e-04   1.3346e+04   1.9209e+05
  2.4037e-01   2.5698e-01  -1.3713e+00   1.7918e-01   2.6673e-04   4.2435e+04   6.1070e+05
  4.3133e-01   4.6045e-01  -7.8759e-01   1.7900e-01   1.5380e-04   1.3402e+05   1.9288e+06
  7.7400e-01   8.2623e-01  -2.0229e-01   1.7905e-01   9.4102e-05   4.2339e+05   6.0932e+06
  1.3889e+00   1.4840e+00   3.8372e-01   1.7922e-01   8.4417e-05   1.3362e+06   1.9231e+07
  2.4922e+00   2.6665e+00   9.6984e-01   1.7926e-01   5.7726e-05   4.2183e+06   6.0709e+07
  4.4721e+00   4.7889e+00   1.5553e+00   1.7932e-01   4.3817e-05   1.3366e+07   1.9237e+08
  8.0249e+00   8.5985e+00   2.1403e+00   1.7929e-01   4.9104e-05   4.2498e+07   6.1163e+08
  1.4400e+01   1.5431e+01   2.7249e+00   1.7927e-01   4.4501e-05   1.3509e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.7927e-01   5.0273e-05   4.2920e+08   6.1770e+09
  4.6368e+01   4.9684e+01   3.8938e+00   1.7927e-01   4.5180e-05   1.3592e+09   1.9562e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.7927e-01   4.6675e-05   4.2828e+09   6.1638e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.7927e-01   4.7843e-05   1.3292e+10   1.9130e+11
