## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4731e-01  -1.9270e+00   6.2134e-02   9.9967e-03   2.3999e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   2.2063e-02   2.6606e-03   1.0675e+03   1.5436e+04
  4.3133e-01   4.6098e-01  -7.8717e-01   4.8289e-03   1.3198e-03   3.2702e+03   4.7309e+04
  7.7400e-01   8.2706e-01  -2.0245e-01   3.5717e-03   6.0575e-04   1.0195e+04   1.4745e+05
  1.3889e+00   1.4842e+00   3.8278e-01   1.8651e-03   4.8060e-04   3.2504e+04   4.7013e+05
  2.4922e+00   2.6629e+00   9.6770e-01   1.1802e-03   2.7860e-04   1.0346e+05   1.4966e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.0044e-03   1.2939e-04   3.2841e+05   4.7506e+06
  8.0249e+00   8.5907e+00   2.1392e+00   6.1708e-04   8.4668e-05   1.0489e+06   1.5173e+07
  1.4400e+01   1.5420e+01   2.7241e+00   2.4122e-04   8.6464e-05   3.3413e+06   4.8335e+07
  2.5840e+01   2.7675e+01   3.3089e+00   1.0965e-04   9.2485e-05   1.0625e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   3.2402e-05   9.8915e-05   3.3700e+07   4.8748e+08
  8.3204e+01   8.9095e+01   4.4778e+00   9.4822e-05   9.1462e-05   1.0623e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   1.3991e-05   9.2053e-05   3.2987e+08   4.7716e+09
