## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4327e-01  -1.9557e+00   1.7685e-01   2.1829e-03   1.3744e+04   1.9880e+05
  2.4037e-01   2.5671e-01  -1.3722e+00   1.7706e-01   1.9529e-03   4.3743e+04   6.3279e+05
  4.3133e-01   4.6031e-01  -7.8754e-01   1.7735e-01   2.0789e-03   1.3867e+05   2.0060e+06
  7.7400e-01   8.2643e-01  -2.0174e-01   1.7712e-01   1.9823e-03   4.3849e+05   6.3428e+06
  1.3889e+00   1.4846e+00   3.8431e-01   1.7704e-01   1.9755e-03   1.3866e+06   2.0057e+07
  2.4922e+00   2.6670e+00   9.7014e-01   1.7703e-01   1.9811e-03   4.3735e+06   6.3266e+07
  4.4721e+00   4.7898e+00   1.5555e+00   1.7722e-01   1.9613e-03   1.3856e+07   2.0043e+08
  8.0249e+00   8.6000e+00   2.1406e+00   1.7724e-01   1.9632e-03   4.4060e+07   6.3735e+08
  1.4400e+01   1.5432e+01   2.7250e+00   1.7733e-01   1.9485e-03   1.4006e+08   2.0260e+09
  2.5840e+01   2.7697e+01   3.3096e+00   1.7738e-01   1.9462e-03   4.4513e+08   6.4390e+09
  4.6368e+01   4.9689e+01   3.8940e+00   1.7741e-01   1.9412e-03   1.4102e+09   2.0399e+10
  8.3204e+01   8.9128e+01   4.4781e+00   1.7748e-01   1.9416e-03   4.4449e+09   6.4297e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7771e-01   1.8988e-03   1.3804e+10   1.9968e+11
