## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4321e-01  -1.9561e+00   1.7928e-01   1.4664e-04   5.5224e+05   7.9479e+06
  2.4037e-01   2.5680e-01  -1.3717e+00   1.7934e-01   7.2243e-05   1.7572e+06   2.5289e+07
  4.3133e-01   4.6070e-01  -7.8668e-01   1.7928e-01   5.7831e-05   5.5803e+06   8.0311e+07
  7.7400e-01   8.2739e-01  -2.0090e-01   1.7927e-01   5.9702e-05   1.7646e+07   2.5397e+08
  1.3889e+00   1.4859e+00   3.8459e-01   1.7928e-01   4.3082e-05   5.5606e+07   8.0028e+08
  2.4922e+00   2.6681e+00   9.6983e-01   1.7928e-01   4.4356e-05   1.7533e+08   2.5234e+09
  4.4721e+00   4.7901e+00   1.5549e+00   1.7928e-01   4.8284e-05   5.5542e+08   7.9935e+09
  8.0249e+00   8.5983e+00   2.1398e+00   1.7928e-01   4.6935e-05   1.7665e+09   2.5423e+10
  1.4400e+01   1.5429e+01   2.7244e+00   1.7928e-01   4.7288e-05   5.6183e+09   8.0858e+10
  2.5840e+01   2.7689e+01   3.3092e+00   1.7928e-01   4.5664e-05   1.7857e+10   2.5699e+11
  4.6368e+01   4.9682e+01   3.8937e+00   1.7928e-01   4.5633e-05   5.6594e+10   8.1450e+11
  8.3204e+01   8.9128e+01   4.4781e+00   1.7927e-01   4.4729e-05   1.7845e+11   2.5683e+12
  1.4930e+02   1.5977e+02   5.0617e+00   1.7926e-01   4.5314e-05   5.5366e+11   7.9683e+12
