## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4731e-01  -1.9270e+00   2.3899e-01   1.0678e-02   2.3999e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   1.9913e-01   3.8767e-03   1.0675e+03   1.5436e+04
  4.3133e-01   4.6098e-01  -7.8717e-01   1.8217e-01   2.4931e-03   3.2702e+03   4.7309e+04
  7.7400e-01   8.2706e-01  -2.0245e-01   1.8069e-01   1.9302e-03   1.0195e+04   1.4745e+05
  1.3889e+00   1.4842e+00   3.8278e-01   1.7891e-01   1.9542e-03   3.2504e+04   4.7013e+05
  2.4922e+00   2.6629e+00   9.6770e-01   1.7821e-01   1.9291e-03   1.0346e+05   1.4966e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.7823e-01   1.9358e-03   3.2841e+05   4.7506e+06
  8.0249e+00   8.5907e+00   2.1392e+00   1.7786e-01   1.9648e-03   1.0489e+06   1.5173e+07
  1.4400e+01   1.5420e+01   2.7241e+00   1.7757e-01   1.9956e-03   3.3413e+06   4.8335e+07
  2.5840e+01   2.7675e+01   3.3089e+00   1.7749e-01   1.9787e-03   1.0625e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.7744e-01   1.9483e-03   3.3700e+07   4.8748e+08
  8.3204e+01   8.9095e+01   4.4778e+00   1.7757e-01   1.9586e-03   1.0623e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   1.7773e-01   1.9128e-03   3.2987e+08   4.7716e+09
