## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4341e-01  -1.9550e+00   6.1428e-02   2.7393e-03   3.7711e+04   1.9227e+05
  2.4037e-01   2.5707e-01  -1.3711e+00   6.3425e-02   1.7685e-03   1.2000e+05   6.1183e+05
  4.3133e-01   4.6071e-01  -7.8718e-01   6.2169e-02   6.9925e-04   3.7909e+05   1.9322e+06
  7.7400e-01   8.2658e-01  -2.0203e-01   6.1030e-02   4.1972e-04   1.1966e+06   6.1006e+06
  1.3889e+00   1.4840e+00   3.8365e-01   6.0909e-02   3.4897e-04   3.7716e+06   1.9232e+07
  2.4922e+00   2.6663e+00   9.6974e-01   6.1208e-02   2.8841e-04   1.1910e+07   6.0734e+07
  4.4721e+00   4.7889e+00   1.5553e+00   6.1259e-02   2.3569e-04   3.7746e+07   1.9248e+08
  8.0249e+00   8.5984e+00   2.1403e+00   6.1295e-02   2.1199e-04   1.2001e+08   6.1195e+08
  1.4400e+01   1.5431e+01   2.7249e+00   6.1299e-02   2.0597e-04   3.8147e+08   1.9452e+09
  2.5840e+01   2.7695e+01   3.3095e+00   6.1212e-02   2.0069e-04   1.2120e+09   6.1804e+09
  4.6368e+01   4.9683e+01   3.8938e+00   6.1253e-02   2.0192e-04   3.8384e+09   1.9572e+10
  8.3204e+01   8.9122e+01   4.4781e+00   6.1282e-02   1.9089e-04   1.2095e+10   6.1671e+10
  1.4930e+02   1.5980e+02   5.0619e+00   6.1246e-02   1.9300e-04   3.7537e+10   1.9141e+11
