## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4738e-01  -1.9265e+00   9.4096e-02   3.6338e-02   6.7326e+02   3.4780e+03
  2.4037e-01   2.5761e-01  -1.3689e+00   6.6974e-02   8.5306e-03   2.9609e+03   1.5435e+04
  4.3133e-01   4.6107e-01  -7.8698e-01   1.7062e-02   5.0339e-03   9.0997e+03   4.7333e+04
  7.7400e-01   8.2737e-01  -2.0210e-01   8.1799e-03   2.1554e-03   2.8353e+04   1.4760e+05
  1.3889e+00   1.4845e+00   3.8295e-01   4.7673e-03   2.5649e-03   9.0430e+04   4.7062e+05
  2.4922e+00   2.6633e+00   9.6781e-01   1.1161e-03   9.9383e-04   2.8779e+05   1.4976e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.9612e-03   8.2270e-04   9.1359e+05   4.7529e+06
  8.0249e+00   8.5907e+00   2.1392e+00   1.8059e-03   5.1609e-04   2.9181e+06   1.5180e+07
  1.4400e+01   1.5420e+01   2.7241e+00   1.7098e-03   4.3518e-04   9.2980e+06   4.8364e+07
  2.5840e+01   2.7675e+01   3.3088e+00   1.2800e-03   3.5592e-04   2.9564e+07   1.5379e+08
  4.6368e+01   4.9664e+01   3.8935e+00   7.5734e-04   3.1937e-04   9.3738e+07   4.8773e+08
  8.3204e+01   8.9095e+01   4.4778e+00   7.6465e-04   2.9973e-04   2.9552e+08   1.5376e+09
  1.4930e+02   1.5977e+02   5.0618e+00   6.3991e-04   2.7043e-04   9.1758e+08   4.7742e+09
