## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9556e+00   1.2225e-02   1.2702e-02   2.9799e+03   1.5483e+04
  2.4037e-01   2.5708e-01  -1.3711e+00  -1.9172e-03   9.7232e-03   9.5364e+03   4.9685e+04
  4.3133e-01   4.6102e-01  -7.8695e-01  -4.1950e-03   1.3329e-02   3.0259e+04   1.5737e+05
  7.7400e-01   8.2658e-01  -2.0261e-01  -1.6997e-03   1.1965e-02   9.4816e+04   4.9328e+05
  1.3889e+00   1.4826e+00   3.8218e-01  -1.7038e-03   1.1436e-02   2.9825e+05   1.5515e+06
  2.4922e+00   2.6631e+00   9.6827e-01  -3.0053e-04   1.2071e-02   9.4406e+05   4.9107e+06
  4.4721e+00   4.7853e+00   1.5544e+00  -1.3460e-03   1.1752e-02   2.9947e+06   1.5580e+07
  8.0249e+00   8.5954e+00   2.1399e+00  -1.9019e-03   1.1663e-02   9.5356e+06   4.9605e+07
  1.4400e+01   1.5427e+01   2.7245e+00  -2.4145e-03   1.1741e-02   3.0348e+07   1.5789e+08
  2.5840e+01   2.7682e+01   3.3090e+00  -2.5471e-03   1.1803e-02   9.6355e+07   5.0133e+08
  4.6368e+01   4.9667e+01   3.8935e+00  -1.9787e-03   1.1590e-02   3.0549e+08   1.5895e+09
  8.3204e+01   8.9092e+01   4.4777e+00  -1.1329e-03   1.1651e-02   9.6220e+08   5.0063e+09
  1.4930e+02   1.5975e+02   5.0616e+00   4.5043e-04   1.1492e-02   2.9834e+09   1.5523e+10
