## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9554e+00   6.5790e-01   1.8534e-03   5.0638e+04   1.9218e+05
  2.4037e-01   2.5696e-01  -1.3714e+00   6.5798e-01   1.8980e-03   1.6099e+05   6.1096e+05
  4.3133e-01   4.6040e-01  -7.8767e-01   6.5821e-01   8.4135e-04   5.0830e+05   1.9290e+06
  7.7400e-01   8.2619e-01  -2.0231e-01   6.5764e-01   3.8347e-04   1.6065e+06   6.0965e+06
  1.3889e+00   1.4840e+00   3.8376e-01   6.5825e-01   4.1038e-04   5.0706e+06   1.9242e+07
  2.4922e+00   2.6665e+00   9.6986e-01   6.5840e-01   3.6041e-04   1.6006e+07   6.0742e+07
  4.4721e+00   4.7889e+00   1.5553e+00   6.5843e-01   3.1176e-04   5.0717e+07   1.9247e+08
  8.0249e+00   8.5984e+00   2.1403e+00   6.5840e-01   2.9578e-04   1.6126e+08   6.1196e+08
  1.4400e+01   1.5431e+01   2.7249e+00   6.5835e-01   2.7680e-04   5.1257e+08   1.9452e+09
  2.5840e+01   2.7695e+01   3.3095e+00   6.5826e-01   2.7035e-04   1.6286e+09   6.1804e+09
  4.6368e+01   4.9683e+01   3.8938e+00   6.5825e-01   2.5417e-04   5.1574e+09   1.9572e+10
  8.3204e+01   8.9122e+01   4.4781e+00   6.5826e-01   2.5241e-04   1.6251e+10   6.1671e+10
  1.4930e+02   1.5980e+02   5.0619e+00   6.5825e-01   2.3623e-04   5.0437e+10   1.9141e+11
