## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4705e-01  -1.9289e+00   1.8268e-01   3.8399e-02   8.5170e+02   3.2420e+03
  2.4037e-01   2.5716e-01  -1.3708e+00   4.9789e-02   8.6560e-03   3.7030e+03   1.4083e+04
  4.3133e-01   4.6116e-01  -7.8679e-01   1.0011e-02   4.2440e-03   1.1268e+04   4.2868e+04
  7.7400e-01   8.2728e-01  -2.0219e-01   1.0142e-02   3.1294e-03   3.5119e+04   1.3359e+05
  1.3889e+00   1.4841e+00   3.8271e-01   5.2273e-03   2.1309e-03   1.1183e+05   4.2541e+05
  2.4922e+00   2.6626e+00   9.6758e-01   9.7073e-04   1.2175e-03   3.5558e+05   1.3527e+06
  4.4721e+00   4.7828e+00   1.5535e+00   2.2237e-03   6.4692e-04   1.1290e+06   4.2951e+06
  8.0249e+00   8.5903e+00   2.1392e+00   1.4350e-03   4.5015e-04   3.6071e+06   1.3723e+07
  1.4400e+01   1.5420e+01   2.7241e+00   1.1764e-03   3.7488e-04   1.1490e+07   4.3710e+07
  2.5840e+01   2.7674e+01   3.3088e+00   8.6212e-04   2.6768e-04   3.6542e+07   1.3902e+08
  4.6368e+01   4.9664e+01   3.8935e+00   3.7224e-04   2.6767e-04   1.1590e+08   4.4091e+08
  8.3204e+01   8.9094e+01   4.4778e+00   6.5532e-04   2.7396e-04   3.6538e+08   1.3900e+09
  1.4930e+02   1.5977e+02   5.0618e+00   4.5534e-04   2.5787e-04   1.1348e+09   4.3169e+09
