## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4329e-01  -1.9560e+00   6.8123e-01   6.5525e-03   4.0694e+03   1.5484e+04
  2.4037e-01   2.5703e-01  -1.3713e+00   6.7019e-01   7.6263e-03   1.3061e+04   4.9683e+04
  4.3133e-01   4.6098e-01  -7.8702e-01   6.6870e-01   8.8459e-03   4.1352e+04   1.5732e+05
  7.7400e-01   8.2648e-01  -2.0272e-01   6.6680e-01   8.0659e-03   1.2966e+05   4.9328e+05
  1.3889e+00   1.4826e+00   3.8219e-01   6.6613e-01   7.3071e-03   4.0788e+05   1.5517e+06
  2.4922e+00   2.6631e+00   9.6829e-01   6.6758e-01   7.6268e-03   1.2907e+06   4.9102e+06
  4.4721e+00   4.7853e+00   1.5544e+00   6.6711e-01   7.5066e-03   4.0951e+06   1.5579e+07
  8.0249e+00   8.5952e+00   2.1399e+00   6.6622e-01   7.5872e-03   1.3039e+07   4.9605e+07
  1.4400e+01   1.5427e+01   2.7245e+00   6.6555e-01   7.5118e-03   4.1505e+07   1.5789e+08
  2.5840e+01   2.7684e+01   3.3091e+00   6.6557e-01   7.4598e-03   1.3179e+08   5.0138e+08
  4.6368e+01   4.9668e+01   3.8935e+00   6.6588e-01   7.4436e-03   4.1779e+08   1.5894e+09
  8.3204e+01   8.9091e+01   4.4777e+00   6.6604e-01   7.4779e-03   1.3159e+09   5.0061e+09
  1.4930e+02   1.5975e+02   5.0616e+00   6.6690e-01   7.3086e-03   4.0806e+09   1.5524e+10
