## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   6.5859e-01   9.5771e-04   1.6490e+05   6.2577e+05
  2.4037e-01   2.5688e-01  -1.3717e+00   6.5819e-01   8.8948e-04   5.2447e+05   1.9904e+06
  4.3133e-01   4.6052e-01  -7.8738e-01   6.5786e-01   3.0018e-04   1.6605e+06   6.3015e+06
  7.7400e-01   8.2647e-01  -2.0202e-01   6.5849e-01   3.4373e-04   5.2450e+06   1.9904e+07
  1.3889e+00   1.4846e+00   3.8395e-01   6.5845e-01   2.7289e-04   1.6548e+07   6.2798e+07
  2.4922e+00   2.6672e+00   9.6983e-01   6.5828e-01   2.5204e-04   5.2208e+07   1.9813e+08
  4.4721e+00   4.7895e+00   1.5551e+00   6.5836e-01   2.7165e-04   1.6534e+08   6.2744e+08
  8.0249e+00   8.5985e+00   2.1401e+00   6.5840e-01   2.9017e-04   5.2554e+08   1.9944e+09
  1.4400e+01   1.5431e+01   2.7247e+00   6.5829e-01   2.7223e-04   1.6709e+09   6.3412e+09
  2.5840e+01   2.7692e+01   3.3093e+00   6.5826e-01   2.8106e-04   5.3080e+09   2.0144e+10
  4.6368e+01   4.9688e+01   3.8938e+00   6.5824e-01   2.5676e-04   1.6810e+10   6.3792e+10
  8.3204e+01   8.9116e+01   4.4779e+00   6.5825e-01   2.4344e-04   5.2902e+10   2.0076e+11
  1.4930e+02   1.5977e+02   5.0617e+00   6.5824e-01   2.3639e-04   1.6403e+11   6.2251e+11
