## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   8.9546e-01   4.1278e-02   9.1313e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   7.4875e-01   1.4440e-02   4.0579e+03   1.5434e+04
  4.3133e-01   4.6098e-01  -7.8716e-01   6.8424e-01   9.4807e-03   1.2439e+04   4.7323e+04
  7.7400e-01   8.2708e-01  -2.0242e-01   6.7844e-01   7.4745e-03   3.8780e+04   1.4752e+05
  1.3889e+00   1.4843e+00   3.8283e-01   6.7179e-01   7.2895e-03   1.2367e+05   4.7044e+05
  2.4922e+00   2.6628e+00   9.6769e-01   6.6901e-01   7.3176e-03   3.9358e+05   1.4972e+06
  4.4721e+00   4.7830e+00   1.5536e+00   6.6921e-01   7.3939e-03   1.2494e+06   4.7531e+06
  8.0249e+00   8.5905e+00   2.1392e+00   6.6769e-01   7.4535e-03   3.9903e+06   1.5180e+07
  1.4400e+01   1.5420e+01   2.7241e+00   6.6673e-01   7.5570e-03   1.2713e+07   4.8365e+07
  2.5840e+01   2.7676e+01   3.3089e+00   6.6642e-01   7.5109e-03   4.0425e+07   1.5379e+08
  4.6368e+01   4.9664e+01   3.8935e+00   6.6619e-01   7.3712e-03   1.2821e+08   4.8773e+08
  8.3204e+01   8.9094e+01   4.4778e+00   6.6666e-01   7.4242e-03   4.0416e+08   1.5375e+09
  1.4930e+02   1.5977e+02   5.0618e+00   6.6731e-01   7.2503e-03   1.2550e+09   4.7743e+09
