## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9554e+00   6.5795e-01   1.9221e-03   5.0606e+04   1.9206e+05
  2.4037e-01   2.5695e-01  -1.3714e+00   6.5789e-01   1.9116e-03   1.6089e+05   6.1055e+05
  4.3133e-01   4.6039e-01  -7.8771e-01   6.5817e-01   8.6672e-04   5.0800e+05   1.9279e+06
  7.7400e-01   8.2616e-01  -2.0234e-01   6.5760e-01   3.9098e-04   1.6055e+06   6.0927e+06
  1.3889e+00   1.4840e+00   3.8376e-01   6.5816e-01   3.8279e-04   5.0680e+06   1.9233e+07
  2.4922e+00   2.6665e+00   9.6985e-01   6.5841e-01   3.7400e-04   1.5997e+07   6.0707e+07
  4.4721e+00   4.7889e+00   1.5553e+00   6.5846e-01   3.0780e-04   5.0689e+07   1.9236e+08
  8.0249e+00   8.5985e+00   2.1404e+00   6.5842e-01   2.9813e-04   1.6118e+08   6.1165e+08
  1.4400e+01   1.5431e+01   2.7249e+00   6.5834e-01   2.7808e-04   5.1229e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   6.5826e-01   2.7215e-04   1.6277e+09   6.1769e+09
  4.6368e+01   4.9683e+01   3.8938e+00   6.5825e-01   2.5398e-04   5.1547e+09   1.9562e+10
  8.3204e+01   8.9122e+01   4.4781e+00   6.5826e-01   2.5239e-04   1.6242e+10   6.1637e+10
  1.4930e+02   1.5980e+02   5.0619e+00   6.5825e-01   2.3679e-04   5.0409e+10   1.9130e+11
