## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4327e-01  -1.9558e+00   6.6420e-01   8.3189e-03   5.2257e+04   1.9879e+05
  2.4037e-01   2.5671e-01  -1.3722e+00   6.6474e-01   7.3377e-03   1.6634e+05   6.3281e+05
  4.3133e-01   4.6030e-01  -7.8755e-01   6.6581e-01   7.8669e-03   5.2729e+05   2.0059e+06
  7.7400e-01   8.2641e-01  -2.0176e-01   6.6510e-01   7.5463e-03   1.6672e+06   6.3424e+06
  1.3889e+00   1.4846e+00   3.8431e-01   6.6471e-01   7.4670e-03   5.2726e+06   2.0058e+07
  2.4922e+00   2.6669e+00   9.7013e-01   6.6468e-01   7.5252e-03   1.6629e+07   6.3263e+07
  4.4721e+00   4.7897e+00   1.5555e+00   6.6541e-01   7.4257e-03   5.2685e+07   2.0043e+08
  8.0249e+00   8.6000e+00   2.1406e+00   6.6546e-01   7.4323e-03   1.6753e+08   6.3734e+08
  1.4400e+01   1.5432e+01   2.7251e+00   6.6580e-01   7.3881e-03   5.3256e+08   2.0260e+09
  2.5840e+01   2.7697e+01   3.3096e+00   6.6600e-01   7.3729e-03   1.6926e+09   6.4390e+09
  4.6368e+01   4.9690e+01   3.8940e+00   6.6612e-01   7.3522e-03   5.3621e+09   2.0399e+10
  8.3204e+01   8.9128e+01   4.4781e+00   6.6637e-01   7.3629e-03   1.6902e+10   6.4298e+10
  1.4930e+02   1.5981e+02   5.0620e+00   6.6727e-01   7.1902e-03   5.2489e+10   1.9968e+11
