## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4321e-01  -1.9561e+00   6.5826e-01   4.0427e-04   2.0941e+06   7.9473e+06
  2.4037e-01   2.5679e-01  -1.3717e+00   6.5839e-01   2.1641e-04   6.6629e+06   2.5285e+07
  4.3133e-01   4.6069e-01  -7.8671e-01   6.5825e-01   2.6578e-04   2.1161e+07   8.0306e+07
  7.7400e-01   8.2738e-01  -2.0090e-01   6.5835e-01   2.4582e-04   6.6922e+07   2.5397e+08
  1.3889e+00   1.4859e+00   3.8459e-01   6.5823e-01   2.7438e-04   2.1088e+08   8.0027e+08
  2.4922e+00   2.6681e+00   9.6983e-01   6.5828e-01   2.6037e-04   6.6494e+08   2.5234e+09
  4.4721e+00   4.7901e+00   1.5549e+00   6.5826e-01   2.6008e-04   2.1063e+09   7.9935e+09
  8.0249e+00   8.5983e+00   2.1398e+00   6.5828e-01   2.5597e-04   6.6992e+09   2.5423e+10
  1.4400e+01   1.5429e+01   2.7244e+00   6.5827e-01   2.5570e-04   2.1307e+10   8.0859e+10
  2.5840e+01   2.7689e+01   3.3092e+00   6.5825e-01   2.5514e-04   6.7720e+10   2.5699e+11
  4.6368e+01   4.9682e+01   3.8937e+00   6.5823e-01   2.4948e-04   2.1463e+11   8.1450e+11
  8.3204e+01   8.9128e+01   4.4781e+00   6.5823e-01   2.4633e-04   6.7676e+11   2.5683e+12
  1.4930e+02   1.5977e+02   5.0617e+00   6.5823e-01   2.3615e-04   2.0997e+12   7.9683e+12
