## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9554e+00   6.5794e-01   1.8915e-03   5.0612e+04   1.9208e+05
  2.4037e-01   2.5696e-01  -1.3714e+00   6.5794e-01   1.9009e-03   1.6090e+05   6.1060e+05
  4.3133e-01   4.6040e-01  -7.8768e-01   6.5821e-01   8.4047e-04   5.0801e+05   1.9279e+06
  7.7400e-01   8.2619e-01  -2.0231e-01   6.5761e-01   3.9490e-04   1.6056e+06   6.0932e+06
  1.3889e+00   1.4840e+00   3.8376e-01   6.5828e-01   4.0943e-04   5.0678e+06   1.9232e+07
  2.4922e+00   2.6665e+00   9.6986e-01   6.5840e-01   3.6020e-04   1.5997e+07   6.0709e+07
  4.4721e+00   4.7890e+00   1.5553e+00   6.5843e-01   3.1137e-04   5.0690e+07   1.9237e+08
  8.0249e+00   8.5984e+00   2.1403e+00   6.5841e-01   2.9582e-04   1.6117e+08   6.1162e+08
  1.4400e+01   1.5431e+01   2.7249e+00   6.5834e-01   2.7756e-04   5.1229e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   6.5826e-01   2.6950e-04   1.6277e+09   6.1771e+09
  4.6368e+01   4.9683e+01   3.8938e+00   6.5825e-01   2.5483e-04   5.1546e+09   1.9561e+10
  8.3204e+01   8.9121e+01   4.4781e+00   6.5826e-01   2.5250e-04   1.6242e+10   6.1637e+10
  1.4930e+02   1.5980e+02   5.0619e+00   6.5825e-01   2.3637e-04   5.0409e+10   1.9130e+11
