## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4320e-01  -1.9560e+00   6.6658e-01   5.7054e-03   8.7199e+04   3.3171e+05
  2.4037e-01   2.5664e-01  -1.3722e+00   6.6452e-01   7.7492e-03   2.7670e+05   1.0527e+06
  4.3133e-01   4.6033e-01  -7.8722e-01   6.6397e-01   7.6553e-03   8.7998e+05   3.3477e+06
  7.7400e-01   8.2677e-01  -2.0116e-01   6.6510e-01   7.4675e-03   2.7841e+06   1.0591e+07
  1.3889e+00   1.4853e+00   3.8485e-01   6.6460e-01   7.5223e-03   8.7991e+06   3.3474e+07
  2.4922e+00   2.6676e+00   9.7043e-01   6.6498e-01   7.4476e-03   2.7737e+07   1.0552e+08
  4.4721e+00   4.7907e+00   1.5557e+00   6.6536e-01   7.4182e-03   8.7866e+07   3.3426e+08
  8.0249e+00   8.6009e+00   2.1407e+00   6.6555e-01   7.4698e-03   2.7935e+08   1.0627e+09
  1.4400e+01   1.5433e+01   2.7251e+00   6.6579e-01   7.4152e-03   8.8798e+08   3.3781e+09
  2.5840e+01   2.7698e+01   3.3097e+00   6.6593e-01   7.3668e-03   2.8219e+09   1.0735e+10
  4.6368e+01   4.9691e+01   3.8940e+00   6.6613e-01   7.3528e-03   8.9395e+09   3.4008e+10
  8.3204e+01   8.9128e+01   4.4781e+00   6.6637e-01   7.3596e-03   2.8176e+10   1.0719e+11
  1.4930e+02   1.5981e+02   5.0620e+00   6.6728e-01   7.1957e-03   8.7503e+10   3.3288e+11
