## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4318e-01  -1.9562e+00   6.5856e-01   3.2055e-04   3.4879e+06   1.3237e+07
  2.4037e-01   2.5673e-01  -1.3717e+00   6.5848e-01   2.5586e-04   1.1105e+07   4.2142e+07
  4.3133e-01   4.6072e-01  -7.8645e-01   6.5818e-01   2.7028e-04   3.5299e+07   1.3396e+08
  7.7400e-01   8.2751e-01  -2.0063e-01   6.5820e-01   2.5736e-04   1.1162e+08   4.2359e+08
  1.3889e+00   1.4861e+00   3.8484e-01   6.5827e-01   2.5476e-04   3.5178e+08   1.3350e+09
  2.4922e+00   2.6686e+00   9.7006e-01   6.5827e-01   2.6098e-04   1.1089e+09   4.2082e+09
  4.4721e+00   4.7907e+00   1.5550e+00   6.5826e-01   2.5714e-04   3.5122e+09   1.3329e+10
  8.0249e+00   8.5990e+00   2.1399e+00   6.5826e-01   2.6071e-04   1.1169e+10   4.2386e+10
  1.4400e+01   1.5429e+01   2.7244e+00   6.5827e-01   2.5581e-04   3.5519e+10   1.3479e+11
  2.5840e+01   2.7690e+01   3.3092e+00   6.5824e-01   2.5516e-04   1.1291e+11   4.2849e+11
  4.6368e+01   4.9683e+01   3.8937e+00   6.5823e-01   2.4828e-04   3.5779e+11   1.3578e+12
  8.3204e+01   8.9129e+01   4.4781e+00   6.5823e-01   2.4590e-04   1.1283e+12   4.2817e+12
  1.4930e+02   1.5977e+02   5.0617e+00   6.5823e-01   2.3627e-04   3.5002e+12   1.3283e+13
