## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   8.9546e-01   4.1278e-02   9.1313e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   7.4875e-01   1.4437e-02   4.0582e+03   1.5435e+04
  4.3133e-01   4.6099e-01  -7.8714e-01   6.8409e-01   9.4169e-03   1.2437e+04   4.7314e+04
  7.7400e-01   8.2709e-01  -2.0241e-01   6.7816e-01   7.5004e-03   3.8760e+04   1.4744e+05
  1.3889e+00   1.4843e+00   3.8284e-01   6.7164e-01   7.2885e-03   1.2361e+05   4.7022e+05
  2.4922e+00   2.6628e+00   9.6769e-01   6.6903e-01   7.3438e-03   3.9332e+05   1.4962e+06
  4.4721e+00   4.7830e+00   1.5536e+00   6.6926e-01   7.3747e-03   1.2488e+06   4.7508e+06
  8.0249e+00   8.5906e+00   2.1392e+00   6.6767e-01   7.4590e-03   3.9882e+06   1.5172e+07
  1.4400e+01   1.5420e+01   2.7241e+00   6.6674e-01   7.5555e-03   1.2706e+07   4.8336e+07
  2.5840e+01   2.7676e+01   3.3089e+00   6.6642e-01   7.5126e-03   4.0402e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   6.6618e-01   7.3705e-03   1.2814e+08   4.8746e+08
  8.3204e+01   8.9094e+01   4.4778e+00   6.6667e-01   7.4273e-03   4.0393e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   6.6731e-01   7.2487e-03   1.2543e+09   4.7717e+09
