## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4340e-01  -1.9550e+00   6.1458e-02   5.0404e-03   9.4379e+03   4.8030e+04
  2.4037e-01   2.5711e-01  -1.3710e+00   5.9160e-02   2.4244e-03   2.9913e+04   1.5259e+05
  4.3133e-01   4.6075e-01  -7.8711e-01   6.2895e-02   2.2063e-03   9.4745e+04   4.8280e+05
  7.7400e-01   8.2644e-01  -2.0219e-01   6.0321e-02   7.2811e-04   2.9906e+05   1.5246e+06
  1.3889e+00   1.4835e+00   3.8339e-01   6.0552e-02   5.0444e-04   9.4147e+05   4.8004e+06
  2.4922e+00   2.6658e+00   9.6975e-01   6.1487e-02   3.8380e-04   2.9737e+06   1.5164e+07
  4.4721e+00   4.7884e+00   1.5554e+00   6.1231e-02   3.7482e-04   9.4183e+06   4.8028e+07
  8.0249e+00   8.5980e+00   2.1405e+00   6.1296e-02   2.8777e-04   2.9947e+07   1.5270e+08
  1.4400e+01   1.5430e+01   2.7251e+00   6.1282e-02   2.2341e-04   9.5144e+07   4.8515e+08
  2.5840e+01   2.7695e+01   3.3098e+00   6.1249e-02   2.2886e-04   3.0223e+08   1.5411e+09
  4.6368e+01   4.9692e+01   3.8941e+00   6.1277e-02   2.0709e-04   9.5625e+08   4.8760e+09
  8.3204e+01   8.9128e+01   4.4782e+00   6.1307e-02   1.9385e-04   3.0079e+09   1.5338e+10
  1.4930e+02   1.5978e+02   5.0618e+00   6.1243e-02   1.9806e-04   9.3117e+09   4.7482e+10
