## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9551e+00   6.1848e-02   1.3730e-03   1.2278e+05   6.2610e+05
  2.4037e-01   2.5700e-01  -1.3713e+00   6.1183e-02   9.2100e-04   3.9099e+05   1.9931e+06
  4.3133e-01   4.6077e-01  -7.8699e-01   6.1038e-02   3.4985e-04   1.2376e+06   6.3088e+06
  7.7400e-01   8.2676e-01  -2.0184e-01   6.1834e-02   3.1469e-04   3.9062e+06   1.9913e+07
  1.3889e+00   1.4846e+00   3.8389e-01   6.1256e-02   2.2000e-04   1.2313e+07   6.2785e+07
  2.4922e+00   2.6671e+00   9.6976e-01   6.1115e-02   2.3716e-04   3.8850e+07   1.9812e+08
  4.4721e+00   4.7894e+00   1.5551e+00   6.1190e-02   2.9895e-04   1.2305e+08   6.2744e+08
  8.0249e+00   8.5984e+00   2.1401e+00   6.1305e-02   2.6955e-04   3.9112e+08   1.9944e+09
  1.4400e+01   1.5431e+01   2.7247e+00   6.1252e-02   2.2295e-04   1.2436e+09   6.3412e+09
  2.5840e+01   2.7692e+01   3.3093e+00   6.1221e-02   2.2618e-04   3.9504e+09   2.0144e+10
  4.6368e+01   4.9688e+01   3.8938e+00   6.1247e-02   2.0643e-04   1.2510e+10   6.3792e+10
  8.3204e+01   8.9116e+01   4.4779e+00   6.1255e-02   1.9119e-04   3.9371e+10   2.0076e+11
  1.4930e+02   1.5977e+02   5.0617e+00   6.1232e-02   1.9075e-04   1.2208e+11   6.2251e+11
