## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4341e-01  -1.9550e+00   6.9591e-02   2.7888e-03   3.7768e+04   1.9228e+05
  2.4037e-01   2.5707e-01  -1.3711e+00   7.1573e-02   1.7916e-03   1.2018e+05   6.1183e+05
  4.3133e-01   4.6071e-01  -7.8718e-01   7.0442e-02   7.1029e-04   3.7966e+05   1.9322e+06
  7.7400e-01   8.2657e-01  -2.0204e-01   6.9188e-02   3.9598e-04   1.1983e+06   6.1004e+06
  1.3889e+00   1.4840e+00   3.8364e-01   6.9135e-02   3.5202e-04   3.7773e+06   1.9232e+07
  2.4922e+00   2.6663e+00   9.6974e-01   6.9422e-02   2.9273e-04   1.1928e+07   6.0735e+07
  4.4721e+00   4.7889e+00   1.5553e+00   6.9473e-02   2.3887e-04   3.7803e+07   1.9248e+08
  8.0249e+00   8.5984e+00   2.1403e+00   6.9503e-02   2.0988e-04   1.2019e+08   6.1195e+08
  1.4400e+01   1.5431e+01   2.7249e+00   6.9504e-02   2.0544e-04   3.8204e+08   1.9451e+09
  2.5840e+01   2.7695e+01   3.3095e+00   6.9421e-02   2.0147e-04   1.2139e+09   6.1804e+09
  4.6368e+01   4.9683e+01   3.8938e+00   6.9462e-02   2.0113e-04   3.8442e+09   1.9572e+10
  8.3204e+01   8.9122e+01   4.4781e+00   6.9490e-02   1.9041e-04   1.2113e+10   6.1671e+10
  1.4930e+02   1.5980e+02   5.0619e+00   6.9452e-02   1.9146e-04   3.7593e+10   1.9141e+11
