## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4357e-01  -1.9537e+00  -6.9831e-03   7.4775e-03   3.8441e+03   1.9969e+04
  2.4037e-01   2.5707e-01  -1.3712e+00   2.6384e-03   5.5618e-03   1.2209e+04   6.3458e+04
  4.3133e-01   4.6116e-01  -7.8667e-01   6.0523e-03   2.3118e-03   3.8793e+04   2.0150e+05
  7.7400e-01   8.2635e-01  -2.0305e-01   4.5538e-03   3.3541e-03   1.2199e+05   6.3386e+05
  1.3889e+00   1.4826e+00   3.8210e-01   4.8839e-03   3.3266e-03   3.8431e+05   1.9967e+06
  2.4922e+00   2.6627e+00   9.6807e-01   4.8145e-03   3.2123e-03   1.2133e+06   6.3033e+06
  4.4721e+00   4.7846e+00   1.5543e+00   5.2371e-03   2.9115e-03   3.8516e+06   2.0009e+07
  8.0249e+00   8.5933e+00   2.1398e+00   4.9279e-03   2.9170e-03   1.2256e+07   6.3681e+07
  1.4400e+01   1.5425e+01   2.7246e+00   5.0810e-03   2.9684e-03   3.8991e+07   2.0257e+08
  2.5840e+01   2.7687e+01   3.3093e+00   5.2252e-03   2.8859e-03   1.2390e+08   6.4372e+08
  4.6368e+01   4.9676e+01   3.8937e+00   5.4015e-03   2.8471e-03   3.9268e+08   2.0401e+09
  8.3204e+01   8.9116e+01   4.4781e+00   5.4097e-03   2.9011e-03   1.2379e+09   6.4315e+09
  1.4930e+02   1.5980e+02   5.0620e+00   5.6552e-03   2.8133e-03   3.8442e+09   1.9974e+10
