## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4338e-01  -1.9551e+00   6.7725e-02   8.8477e-04   1.5628e+05   7.9568e+05
  2.4037e-01   2.5704e-01  -1.3711e+00   6.9117e-02   6.9972e-04   4.9837e+05   2.5366e+06
  4.3133e-01   4.6082e-01  -7.8689e-01   6.9325e-02   3.3664e-04   1.5765e+06   8.0250e+06
  7.7400e-01   8.2672e-01  -2.0188e-01   6.9415e-02   2.5145e-04   4.9751e+06   2.5326e+07
  1.3889e+00   1.4845e+00   3.8385e-01   6.9219e-02   2.3963e-04   1.5697e+07   7.9921e+07
  2.4922e+00   2.6670e+00   9.6977e-01   6.9374e-02   1.8016e-04   4.9567e+07   2.5238e+08
  4.4721e+00   4.7894e+00   1.5551e+00   6.9382e-02   2.0443e-04   1.5707e+08   7.9976e+08
  8.0249e+00   8.5990e+00   2.1401e+00   6.9383e-02   1.9833e-04   4.9950e+08   2.5432e+09
  1.4400e+01   1.5431e+01   2.7246e+00   6.9416e-02   1.9368e-04   1.5886e+09   8.0883e+09
  2.5840e+01   2.7686e+01   3.3091e+00   6.9386e-02   1.9762e-04   5.0471e+09   2.5697e+10
  4.6368e+01   4.9684e+01   3.8938e+00   6.9400e-02   1.8829e-04   1.6008e+10   8.1504e+10
  8.3204e+01   8.9126e+01   4.4781e+00   6.9410e-02   1.8425e-04   5.0446e+10   2.5684e+11
  1.4930e+02   1.5979e+02   5.0618e+00   6.9416e-02   1.7599e-04   1.5661e+11   7.9739e+11
