## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   1.7957e-01   2.9109e-04   1.3337e+04   1.9210e+05
  2.4037e-01   2.5700e-01  -1.3713e+00   1.8001e-01   2.7827e-04   4.2411e+04   6.1082e+05
  4.3133e-01   4.6047e-01  -7.8756e-01   1.7982e-01   1.3614e-04   1.3391e+05   1.9287e+06
  7.7400e-01   8.2626e-01  -2.0225e-01   1.7991e-01   9.3571e-05   4.2312e+05   6.0940e+06
  1.3889e+00   1.4840e+00   3.8374e-01   1.8006e-01   1.0030e-04   1.3352e+06   1.9230e+07
  2.4922e+00   2.6665e+00   9.6983e-01   1.8010e-01   5.2337e-05   4.2148e+06   6.0706e+07
  4.4721e+00   4.7889e+00   1.5553e+00   1.8015e-01   4.4575e-05   1.3357e+07   1.9237e+08
  8.0249e+00   8.5985e+00   2.1404e+00   1.8012e-01   5.1332e-05   4.2466e+07   6.1164e+08
  1.4400e+01   1.5431e+01   2.7249e+00   1.8011e-01   4.4718e-05   1.3498e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   1.8010e-01   5.0799e-05   4.2887e+08   6.1770e+09
  4.6368e+01   4.9683e+01   3.8938e+00   1.8010e-01   4.6073e-05   1.3582e+09   1.9562e+10
  8.3204e+01   8.9122e+01   4.4781e+00   1.8010e-01   4.7307e-05   4.2795e+09   6.1638e+10
  1.4930e+02   1.5980e+02   5.0619e+00   1.8010e-01   4.8835e-05   1.3282e+10   1.9130e+11
