## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4730e-01  -1.9270e+00   6.1689e-02   9.9935e-03   2.3980e+02   3.4760e+03
  2.4037e-01   2.5751e-01  -1.3693e+00   2.1976e-02   2.6400e-03   1.0666e+03   1.5433e+04
  4.3133e-01   4.6098e-01  -7.8718e-01   4.6635e-03   1.2962e-03   3.2679e+03   4.7311e+04
  7.7400e-01   8.2710e-01  -2.0240e-01   3.2498e-03   6.1131e-04   1.0190e+04   1.4748e+05
  1.3889e+00   1.4843e+00   3.8286e-01   1.6220e-03   4.7472e-04   3.2485e+04   4.7022e+05
  2.4922e+00   2.6628e+00   9.6768e-01   9.6559e-04   2.4470e-04   1.0336e+05   1.4962e+06
  4.4721e+00   4.7831e+00   1.5536e+00   8.5609e-04   1.4168e-04   3.2820e+05   4.7509e+06
  8.0249e+00   8.5907e+00   2.1392e+00   5.7131e-04   8.8543e-05   1.0481e+06   1.5172e+07
  1.4400e+01   1.5420e+01   2.7241e+00   2.8417e-04   1.0811e-04   3.3386e+06   4.8333e+07
  2.5840e+01   2.7675e+01   3.3089e+00   2.1781e-04   8.4992e-05   1.0617e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.3541e-04   6.1810e-05   3.3674e+07   4.8747e+08
  8.3204e+01   8.9095e+01   4.4778e+00   1.9690e-04   6.1148e-05   1.0615e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   1.2236e-04   5.5446e-05   3.2962e+08   4.7716e+09
