## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4328e-01  -1.9557e+00   1.7757e-01   1.0866e-03   1.3736e+04   1.9883e+05
  2.4037e-01   2.5671e-01  -1.3722e+00   1.7775e-01   8.4711e-04   4.3704e+04   6.3270e+05
  4.3133e-01   4.6031e-01  -7.8755e-01   1.7803e-01   8.9368e-04   1.3858e+05   2.0061e+06
  7.7400e-01   8.2642e-01  -2.0175e-01   1.7782e-01   8.5864e-04   4.3813e+05   6.3423e+06
  1.3889e+00   1.4846e+00   3.8431e-01   1.7764e-01   8.9743e-04   1.3856e+06   2.0059e+07
  2.4922e+00   2.6670e+00   9.7015e-01   1.7758e-01   8.8498e-04   4.3701e+06   6.3264e+07
  4.4721e+00   4.7897e+00   1.5555e+00   1.7776e-01   8.6839e-04   1.3845e+07   2.0042e+08
  8.0249e+00   8.6000e+00   2.1406e+00   1.7773e-01   8.7641e-04   4.4028e+07   6.3737e+08
  1.4400e+01   1.5432e+01   2.7251e+00   1.7780e-01   8.7202e-04   1.3995e+08   2.0260e+09
  2.5840e+01   2.7697e+01   3.3096e+00   1.7781e-01   8.8199e-04   4.4481e+08   6.4392e+09
  4.6368e+01   4.9690e+01   3.8940e+00   1.7777e-01   8.8199e-04   1.4091e+09   2.0398e+10
  8.3204e+01   8.9128e+01   4.4781e+00   1.7771e-01   8.7320e-04   4.4415e+09   6.4296e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7772e-01   8.5744e-04   1.3794e+10   1.9968e+11
