## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4321e-01  -1.9561e+00   1.8011e-01   1.4329e-04   5.5184e+05   7.9482e+06
  2.4037e-01   2.5680e-01  -1.3716e+00   1.8017e-01   6.9993e-05   1.7558e+06   2.5289e+07
  4.3133e-01   4.6070e-01  -7.8668e-01   1.8011e-01   5.9272e-05   5.5761e+06   8.0311e+07
  7.7400e-01   8.2740e-01  -2.0089e-01   1.8010e-01   6.0389e-05   1.7633e+07   2.5397e+08
  1.3889e+00   1.4860e+00   3.8459e-01   1.8011e-01   4.3671e-05   5.5563e+07   8.0028e+08
  2.4922e+00   2.6681e+00   9.6983e-01   1.8011e-01   4.5634e-05   1.7520e+08   2.5234e+09
  4.4721e+00   4.7901e+00   1.5549e+00   1.8011e-01   4.8996e-05   5.5499e+08   7.9935e+09
  8.0249e+00   8.5983e+00   2.1398e+00   1.8011e-01   4.7690e-05   1.7651e+09   2.5423e+10
  1.4400e+01   1.5429e+01   2.7244e+00   1.8011e-01   4.8288e-05   5.6140e+09   8.0859e+10
  2.5840e+01   2.7689e+01   3.3092e+00   1.8011e-01   4.6324e-05   1.7843e+10   2.5699e+11
  4.6368e+01   4.9682e+01   3.8937e+00   1.8011e-01   4.6694e-05   5.6550e+10   8.1450e+11
  8.3204e+01   8.9128e+01   4.4781e+00   1.8010e-01   4.5590e-05   1.7832e+11   2.5683e+12
  1.4930e+02   1.5977e+02   5.0617e+00   1.8009e-01   4.6239e-05   5.5324e+11   7.9683e+12
