## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4730e-01  -1.9270e+00   2.3926e-01   1.0018e-02   2.3980e+02   3.4760e+03
  2.4037e-01   2.5751e-01  -1.3693e+00   1.9972e-01   2.9989e-03   1.0666e+03   1.5433e+04
  4.3133e-01   4.6098e-01  -7.8718e-01   1.8270e-01   1.7319e-03   3.2679e+03   4.7311e+04
  7.7400e-01   8.2710e-01  -2.0240e-01   1.8107e-01   8.7213e-04   1.0190e+04   1.4748e+05
  1.3889e+00   1.4843e+00   3.8286e-01   1.7926e-01   1.0246e-03   3.2485e+04   4.7022e+05
  2.4922e+00   2.6628e+00   9.6768e-01   1.7854e-01   7.3091e-04   1.0336e+05   1.4962e+06
  4.4721e+00   4.7831e+00   1.5536e+00   1.7862e-01   8.7646e-04   3.2820e+05   4.7509e+06
  8.0249e+00   8.5907e+00   2.1392e+00   1.7830e-01   8.7949e-04   1.0481e+06   1.5172e+07
  1.4400e+01   1.5420e+01   2.7241e+00   1.7809e-01   8.8874e-04   3.3386e+06   4.8333e+07
  2.5840e+01   2.7675e+01   3.3089e+00   1.7802e-01   8.8484e-04   1.0617e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   1.7791e-01   8.7245e-04   3.3674e+07   4.8747e+08
  8.3204e+01   8.9095e+01   4.4778e+00   1.7790e-01   8.7890e-04   1.0615e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   1.7785e-01   8.4631e-04   3.2962e+08   4.7716e+09
