## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9554e+00   6.7201e-01   1.0552e-03   5.0584e+04   1.9204e+05
  2.4037e-01   2.5695e-01  -1.3714e+00   6.7381e-01   1.0266e-03   1.6082e+05   6.1052e+05
  4.3133e-01   4.6039e-01  -7.8769e-01   6.7322e-01   5.2892e-04   5.0792e+05   1.9282e+06
  7.7400e-01   8.2616e-01  -2.0234e-01   6.7337e-01   3.4320e-04   1.6048e+06   6.0923e+06
  1.3889e+00   1.4840e+00   3.8373e-01   6.7410e-01   3.1849e-04   5.0659e+06   1.9231e+07
  2.4922e+00   2.6665e+00   9.6984e-01   6.7418e-01   2.1329e-04   1.5992e+07   6.0710e+07
  4.4721e+00   4.7889e+00   1.5553e+00   6.7443e-01   1.6798e-04   5.0673e+07   1.9237e+08
  8.0249e+00   8.5985e+00   2.1404e+00   6.7433e-01   1.8710e-04   1.6112e+08   6.1164e+08
  1.4400e+01   1.5431e+01   2.7249e+00   6.7427e-01   1.7009e-04   5.1212e+08   1.9441e+09
  2.5840e+01   2.7695e+01   3.3095e+00   6.7424e-01   1.9126e-04   1.6271e+09   6.1770e+09
  4.6368e+01   4.9684e+01   3.8938e+00   6.7423e-01   1.7236e-04   5.1530e+09   1.9562e+10
  8.3204e+01   8.9122e+01   4.4781e+00   6.7425e-01   1.7786e-04   1.6236e+10   6.1637e+10
  1.4930e+02   1.5980e+02   5.0619e+00   6.7423e-01   1.8194e-04   5.0391e+10   1.9130e+11
