## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4327e-01  -1.9558e+00   6.6701e-01   4.1180e-03   5.2233e+04   1.9878e+05
  2.4037e-01   2.5671e-01  -1.3722e+00   6.6748e-01   3.1853e-03   1.6627e+05   6.3280e+05
  4.3133e-01   4.6031e-01  -7.8754e-01   6.6849e-01   3.2990e-03   5.2713e+05   2.0061e+06
  7.7400e-01   8.2643e-01  -2.0174e-01   6.6745e-01   3.2647e-03   1.6666e+06   6.3426e+06
  1.3889e+00   1.4846e+00   3.8431e-01   6.6698e-01   3.3016e-03   5.2703e+06   2.0057e+07
  2.4922e+00   2.6669e+00   9.7013e-01   6.6672e-01   3.3321e-03   1.6623e+07   6.3264e+07
  4.4721e+00   4.7897e+00   1.5555e+00   6.6731e-01   3.2645e-03   5.2664e+07   2.0043e+08
  8.0249e+00   8.6000e+00   2.1406e+00   6.6727e-01   3.2795e-03   1.6747e+08   6.3734e+08
  1.4400e+01   1.5432e+01   2.7250e+00   6.6752e-01   3.2753e-03   5.3235e+08   2.0260e+09
  2.5840e+01   2.7697e+01   3.3096e+00   6.6756e-01   3.3095e-03   1.6919e+09   6.4390e+09
  4.6368e+01   4.9690e+01   3.8940e+00   6.6741e-01   3.3067e-03   5.3600e+09   2.0399e+10
  8.3204e+01   8.9128e+01   4.4781e+00   6.6718e-01   3.2773e-03   1.6895e+10   6.4298e+10
  1.4930e+02   1.5981e+02   5.0620e+00   6.6722e-01   3.2116e-03   5.2468e+10   1.9968e+11
