## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4321e-01  -1.9561e+00   6.7426e-01   5.5384e-04   2.0934e+06   7.9473e+06
  2.4037e-01   2.5679e-01  -1.3717e+00   6.7447e-01   2.7610e-04   6.6608e+06   2.5286e+07
  4.3133e-01   4.6069e-01  -7.8670e-01   6.7429e-01   2.2502e-04   2.1154e+07   8.0307e+07
  7.7400e-01   8.2738e-01  -2.0091e-01   6.7425e-01   2.2457e-04   6.6899e+07   2.5396e+08
  1.3889e+00   1.4859e+00   3.8459e-01   6.7426e-01   1.6350e-04   2.1081e+08   8.0027e+08
  2.4922e+00   2.6681e+00   9.6983e-01   6.7429e-01   1.6845e-04   6.6471e+08   2.5234e+09
  4.4721e+00   4.7901e+00   1.5549e+00   6.7429e-01   1.8169e-04   2.1056e+09   7.9935e+09
  8.0249e+00   8.5983e+00   2.1398e+00   6.7428e-01   1.7845e-04   6.6969e+09   2.5423e+10
  1.4400e+01   1.5429e+01   2.7244e+00   6.7429e-01   1.8108e-04   2.1300e+10   8.0859e+10
  2.5840e+01   2.7689e+01   3.3092e+00   6.7429e-01   1.7473e-04   6.7697e+10   2.5699e+11
  4.6368e+01   4.9682e+01   3.8937e+00   6.7426e-01   1.7376e-04   2.1455e+11   8.1450e+11
  8.3204e+01   8.9128e+01   4.4781e+00   6.7423e-01   1.7045e-04   6.7653e+11   2.5683e+12
  1.4930e+02   1.5977e+02   5.0617e+00   6.7421e-01   1.7291e-04   2.0990e+12   7.9682e+12
