## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4341e-01  -1.9549e+00   9.1183e-02   3.3556e-03   3.0705e+04   4.7745e+04
  2.4037e-01   2.5709e-01  -1.3710e+00   7.8232e-02   1.7686e-03   9.7435e+04   1.5168e+05
  4.3133e-01   4.6071e-01  -7.8711e-01   8.6873e-02   1.5897e-03   3.0850e+05   4.7994e+05
  7.7400e-01   8.2623e-01  -2.0232e-01   8.2423e-02   8.7273e-04   9.7370e+05   1.5151e+06
  1.3889e+00   1.4834e+00   3.8340e-01   8.1506e-02   7.3990e-04   3.0686e+06   4.7753e+06
  2.4922e+00   2.6660e+00   9.6983e-01   8.1560e-02   3.7457e-04   9.6914e+06   1.5082e+07
  4.4721e+00   4.7885e+00   1.5554e+00   8.1142e-02   3.2917e-04   3.0690e+07   4.7761e+07
  8.0249e+00   8.5982e+00   2.1405e+00   8.1260e-02   2.5007e-04   9.7589e+07   1.5187e+08
  1.4400e+01   1.5431e+01   2.7251e+00   8.1366e-02   3.2059e-04   3.1002e+08   4.8246e+08
  2.5840e+01   2.7695e+01   3.3098e+00   8.1303e-02   3.0107e-04   9.8482e+08   1.5326e+09
  4.6368e+01   4.9692e+01   3.8941e+00   8.1427e-02   2.7984e-04   3.1161e+09   4.8492e+09
  8.3204e+01   8.9128e+01   4.4782e+00   8.1454e-02   2.8970e-04   9.8015e+09   1.5253e+10
  1.4930e+02   1.5978e+02   5.0618e+00   8.1427e-02   2.6398e-04   3.0344e+10   4.7222e+10
