## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4906e-01  -1.9136e+00   1.5152e-02   7.1710e-02   1.4118e+02   7.3100e+02
  2.4037e-01   2.5824e-01  -1.3664e+00   1.2291e-01   1.7111e-02   7.1112e+02   3.6880e+03
  4.3133e-01   4.6135e-01  -7.8650e-01   2.3259e-02   1.1161e-02   2.2806e+03   1.1821e+04
  7.7400e-01   8.2659e-01  -2.0317e-01   9.3763e-03   4.5768e-03   7.0253e+03   3.6512e+04
  1.3889e+00   1.4854e+00   3.8326e-01   2.9967e-03   4.2467e-03   2.2555e+04   1.1720e+05
  2.4922e+00   2.6634e+00   9.6753e-01   1.6032e-03   1.9991e-03   7.2120e+04   3.7476e+05
  4.4721e+00   4.7807e+00   1.5529e+00   1.8319e-03   8.4220e-04   2.2772e+05   1.1830e+06
  8.0249e+00   8.5858e+00   2.1386e+00   1.3088e-03   7.2148e-04   7.2792e+05   3.7811e+06
  1.4400e+01   1.5415e+01   2.7239e+00   2.1789e-04   8.1902e-04   2.3215e+06   1.2061e+07
  2.5840e+01   2.7672e+01   3.3089e+00  -5.3190e-04   6.0238e-04   7.3798e+06   3.8342e+07
  4.6368e+01   4.9661e+01   3.8935e+00  -1.1643e-03   4.1988e-04   2.3385e+07   1.2152e+08
  8.3204e+01   8.9076e+01   4.4777e+00  -1.0647e-03   3.7131e-04   7.3615e+07   3.8252e+08
  1.4930e+02   1.5973e+02   5.0616e+00  -1.0989e-03   2.8556e-04   2.2806e+08   1.1850e+09
