## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4321e-01  -1.9560e+00   4.8418e-03   3.8023e-03   6.3836e+04   3.3173e+05
  2.4037e-01   2.5665e-01  -1.3721e+00   3.8752e-03   2.4609e-03   2.0264e+05   1.0527e+06
  4.3133e-01   4.6034e-01  -7.8721e-01   4.9799e-03   3.2026e-03   6.4434e+05   3.3472e+06
  7.7400e-01   8.2678e-01  -2.0114e-01   5.4489e-03   2.8072e-03   2.0388e+06   1.0594e+07
  1.3889e+00   1.4854e+00   3.8491e-01   4.3851e-03   3.1070e-03   6.4430e+06   3.3475e+07
  2.4922e+00   2.6677e+00   9.7045e-01   4.6916e-03   2.9862e-03   2.0310e+07   1.0552e+08
  4.4721e+00   4.7907e+00   1.5557e+00   4.8623e-03   2.9320e-03   6.4342e+07   3.3427e+08
  8.0249e+00   8.6010e+00   2.1407e+00   5.0060e-03   2.9770e-03   2.0457e+08   1.0628e+09
  1.4400e+01   1.5434e+01   2.7251e+00   5.2177e-03   2.9342e-03   6.5021e+08   3.3780e+09
  2.5840e+01   2.7697e+01   3.3096e+00   5.2537e-03   2.9235e-03   2.0662e+09   1.0734e+10
  4.6368e+01   4.9689e+01   3.8939e+00   5.3906e-03   2.8434e-03   6.5457e+09   3.4008e+10
  8.3204e+01   8.9128e+01   4.4781e+00   5.4103e-03   2.8983e-03   2.0632e+10   1.0719e+11
  1.4930e+02   1.5981e+02   5.0620e+00   5.6733e-03   2.8086e-03   6.4061e+10   3.3286e+11
