## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4319e-01  -1.9561e+00   8.1140e-02   5.1982e-04   8.4314e+06   1.3121e+07
  2.4037e-01   2.5675e-01  -1.3717e+00   8.1404e-02   3.3197e-04   2.6843e+07   4.1772e+07
  4.3133e-01   4.6073e-01  -7.8645e-01   8.1598e-02   3.0317e-04   8.5313e+07   1.3276e+08
  7.7400e-01   8.2753e-01  -2.0062e-01   8.1389e-02   3.1162e-04   2.6978e+08   4.1983e+08
  1.3889e+00   1.4862e+00   3.8484e-01   8.1396e-02   2.8364e-04   8.5018e+08   1.3231e+09
  2.4922e+00   2.6686e+00   9.7004e-01   8.1430e-02   2.7732e-04   2.6799e+09   4.1704e+09
  4.4721e+00   4.7906e+00   1.5550e+00   8.1414e-02   2.6453e-04   8.4880e+09   1.3209e+10
  8.0249e+00   8.5990e+00   2.1399e+00   8.1409e-02   2.6998e-04   2.6994e+10   4.2008e+10
  1.4400e+01   1.5429e+01   2.7244e+00   8.1401e-02   2.7119e-04   8.5840e+10   1.3359e+11
  2.5840e+01   2.7690e+01   3.3092e+00   8.1422e-02   2.6377e-04   2.7288e+11   4.2465e+11
  4.6368e+01   4.9683e+01   3.8937e+00   8.1470e-02   2.6029e-04   8.6470e+11   1.3456e+12
  8.3204e+01   8.9129e+01   4.4781e+00   8.1455e-02   2.7081e-04   2.7267e+12   4.2433e+12
  1.4930e+02   1.5977e+02   5.0617e+00   8.1439e-02   2.5359e-04   8.4590e+12   1.3164e+13
