## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4906e-01  -1.9136e+00   1.9994e-02   7.2302e-02   1.4118e+02   7.3100e+02
  2.4037e-01   2.5824e-01  -1.3664e+00   1.2678e-01   1.7913e-02   7.1112e+02   3.6880e+03
  4.3133e-01   4.6135e-01  -7.8650e-01   2.8239e-02   1.2072e-02   2.2806e+03   1.1821e+04
  7.7400e-01   8.2659e-01  -2.0317e-01   1.4825e-02   5.5993e-03   7.0253e+03   3.6512e+04
  1.3889e+00   1.4854e+00   3.8326e-01   7.3818e-03   5.2254e-03   2.2555e+04   1.1720e+05
  2.4922e+00   2.6634e+00   9.6753e-01   6.2948e-03   2.8399e-03   7.2120e+04   3.7476e+05
  4.4721e+00   4.7807e+00   1.5529e+00   6.6941e-03   3.4417e-03   2.2772e+05   1.1830e+06
  8.0249e+00   8.5858e+00   2.1386e+00   6.3149e-03   3.2943e-03   7.2792e+05   3.7811e+06
  1.4400e+01   1.5415e+01   2.7239e+00   5.4356e-03   3.1431e-03   2.3215e+06   1.2061e+07
  2.5840e+01   2.7672e+01   3.3089e+00   4.7218e-03   3.2483e-03   7.3798e+06   3.8342e+07
  4.6368e+01   4.9661e+01   3.8935e+00   4.2263e-03   3.0593e-03   2.3385e+07   1.2152e+08
  8.3204e+01   8.9076e+01   4.4777e+00   4.3456e-03   3.1250e-03   7.3615e+07   3.8252e+08
  1.4930e+02   1.5973e+02   5.0616e+00   4.5744e-03   2.9566e-03   2.2806e+08   1.1850e+09
