## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8467e-01  -1.2687e+00  -3.0603e-01   2.3255e-03   1.0308e+05   1.7777e+05
  4.7427e-01   5.0558e-01  -6.9380e-01  -3.0492e-01   1.7307e-03   3.2082e+05   5.5326e+05
  8.4339e-01   8.9873e-01  -1.1784e-01  -3.0785e-01   9.2850e-04   9.9367e+05   1.7138e+06
  1.4998e+00   1.5990e+00   4.5876e-01  -3.0862e-01   7.3981e-04   3.0743e+06   5.3030e+06
  2.6670e+00   2.8475e+00   1.0360e+00  -3.0886e-01   4.0706e-04   9.5458e+06   1.6467e+07
  4.7427e+00   5.0684e+00   1.6125e+00  -3.0901e-01   3.3042e-04   2.9710e+07   5.1251e+07
  8.4339e+00   9.0187e+00   2.1886e+00  -3.0896e-01   2.6465e-04   9.2818e+07   1.6011e+08
  1.4998e+01   1.6039e+01   2.7641e+00  -3.0881e-01   3.0861e-04   2.8961e+08   4.9957e+08
  2.6670e+01   2.8527e+01   3.3397e+00  -3.0887e-01   3.0475e-04   9.0349e+08   1.5585e+09
  4.7427e+01   5.0726e+01   3.9150e+00  -3.0878e-01   2.7613e-04   2.8081e+09   4.8439e+09
  8.4339e+01   9.0163e+01   4.4901e+00  -3.0878e-01   2.8670e-04   8.6756e+09   1.4965e+10
  1.4998e+02   1.6019e+02   5.0647e+00  -3.0881e-01   2.6551e-04   2.6388e+10   4.5519e+10
