## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8403e-01  -1.2704e+00  -2.9103e-01   3.6108e-03   1.9337e+05   1.2320e+06
  4.7427e-01   5.0522e-01  -6.9374e-01  -2.8822e-01   3.7503e-03   6.0158e+05   3.8330e+06
  8.4339e-01   8.9934e-01  -1.1667e-01  -2.8916e-01   3.8874e-03   1.8696e+06   1.1916e+07
  1.4998e+00   1.6010e+00   4.6017e-01  -2.8953e-01   3.9998e-03   5.7994e+06   3.6956e+07
  2.6670e+00   2.8494e+00   1.0367e+00  -2.8970e-01   4.0384e-03   1.7971e+07   1.1452e+08
  4.7427e+00   5.0708e+00   1.6129e+00  -2.8965e-01   3.9263e-03   5.5957e+07   3.5656e+08
  8.4339e+00   9.0219e+00   2.1888e+00  -2.8947e-01   3.9463e-03   1.7481e+08   1.1139e+09
  1.4998e+01   1.6042e+01   2.7641e+00  -2.8934e-01   3.9350e-03   5.4561e+08   3.4766e+09
  2.6670e+01   2.8530e+01   3.3396e+00  -2.8939e-01   3.9794e-03   1.7032e+09   1.0853e+10
  4.7427e+01   5.0723e+01   3.9149e+00  -2.8938e-01   3.8564e-03   5.2994e+09   3.3770e+10
  8.4339e+01   9.0165e+01   4.4900e+00  -2.8935e-01   3.8470e-03   1.6406e+10   1.0455e+11
  1.4998e+02   1.6021e+02   5.0648e+00  -2.8923e-01   3.7982e-03   5.0041e+10   3.1892e+11
