## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8412e-01  -1.2700e+00  -3.0870e-01   2.7202e-04   2.8485e+07   4.9135e+07
  4.7427e-01   5.0564e-01  -6.9305e-01  -3.0873e-01   3.3586e-04   8.8683e+07   1.5298e+08
  8.4339e-01   9.0010e-01  -1.1623e-01  -3.0880e-01   2.6724e-04   2.7530e+08   4.7488e+08
  1.4998e+00   1.6018e+00   4.6009e-01  -3.0882e-01   2.6802e-04   8.5197e+08   1.4696e+09
  2.6670e+00   2.8502e+00   1.0362e+00  -3.0879e-01   2.4528e-04   2.6397e+09   4.5535e+09
  4.7427e+00   5.0705e+00   1.6121e+00  -3.0878e-01   2.4242e-04   8.2174e+09   1.4175e+10
  8.4339e+00   9.0195e+00   2.1880e+00  -3.0881e-01   2.5252e-04   2.5678e+10   4.4294e+10
  1.4998e+01   1.6038e+01   2.7635e+00  -3.0882e-01   2.5047e-04   8.0200e+10   1.3834e+11
  2.6670e+01   2.8522e+01   3.3391e+00  -3.0880e-01   2.4372e-04   2.5034e+11   4.3183e+11
  4.7427e+01   5.0717e+01   3.9147e+00  -3.0875e-01   2.4326e-04   7.7940e+11   1.3444e+12
  8.4339e+01   9.0166e+01   4.4900e+00  -3.0876e-01   2.5590e-04   2.4136e+12   4.1635e+12
  1.4998e+02   1.6018e+02   5.0646e+00  -3.0878e-01   2.4410e-04   7.3560e+12   1.2689e+13
