## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8512e-01  -1.2674e+00  -1.7519e-01   2.1323e-02   6.9074e+02   4.3810e+03
  4.7427e-01   5.0593e-01  -6.9384e-01  -2.9394e-01   1.1811e-02   2.1163e+03   1.3475e+04
  8.4339e-01   8.9958e-01  -1.1826e-01  -2.7797e-01   5.4365e-03   6.4581e+03   4.1152e+04
  1.4998e+00   1.6001e+00   4.5798e-01  -2.9511e-01   6.8002e-03   2.0395e+04   1.2999e+05
  2.6670e+00   2.8435e+00   1.0333e+00  -2.8829e-01   4.4290e-03   6.3885e+04   4.0697e+05
  4.7427e+00   5.0620e+00   1.6104e+00  -2.8795e-01   3.9926e-03   1.9857e+05   1.2650e+06
  8.4339e+00   9.0068e+00   2.1868e+00  -2.8955e-01   4.4235e-03   6.2220e+05   3.9636e+06
  1.4998e+01   1.6024e+01   2.7629e+00  -2.9034e-01   4.0324e-03   1.9503e+06   1.2426e+07
  2.6670e+01   2.8506e+01   3.3389e+00  -2.9042e-01   4.2283e-03   6.0865e+06   3.8784e+07
  4.7427e+01   5.0695e+01   3.9145e+00  -2.9137e-01   4.0367e-03   1.8944e+07   1.2073e+08
  8.4339e+01   9.0112e+01   4.4896e+00  -2.9090e-01   4.0615e-03   5.8562e+07   3.7322e+08
  1.4998e+02   1.6014e+02   5.0645e+00  -2.9080e-01   3.9637e-03   1.7823e+08   1.1358e+09
