## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   1.8044e-01   9.4361e-04   2.5796e+04   9.7884e+04
  2.4037e-01   2.5690e-01  -1.3716e+00   1.7783e-01   5.0904e-04   8.2187e+04   3.1187e+05
  4.3133e-01   4.6054e-01  -7.8737e-01   1.7780e-01   3.5182e-04   2.5965e+05   9.8531e+05
  7.7400e-01   8.2612e-01  -2.0240e-01   1.7812e-01   1.7936e-04   8.2057e+05   3.1138e+06
  1.3889e+00   1.4839e+00   3.8374e-01   1.7781e-01   1.0472e-04   2.5920e+06   9.8359e+06
  2.4922e+00   2.6663e+00   9.6986e-01   1.7810e-01   7.8651e-05   8.1883e+06   3.1072e+07
  4.4721e+00   4.7888e+00   1.5554e+00   1.7810e-01   6.9912e-05   2.5956e+07   9.8497e+07
  8.0249e+00   8.5986e+00   2.1405e+00   1.7807e-01   5.1255e-05   8.2572e+07   3.1334e+08
  1.4400e+01   1.5431e+01   2.7251e+00   1.7808e-01   5.7952e-05   2.6257e+08   9.9638e+08
  2.5840e+01   2.7697e+01   3.3097e+00   1.7806e-01   5.5594e-05   8.3462e+08   3.1672e+09
  4.6368e+01   4.9692e+01   3.8940e+00   1.7807e-01   5.5195e-05   2.6445e+09   1.0035e+10
  8.3204e+01   8.9131e+01   4.4782e+00   1.7806e-01   5.0587e-05   8.3334e+09   3.1623e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7807e-01   4.9859e-05   2.5881e+10   9.8211e+10
