## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   1.7418e-01   2.0136e-03   2.5461e+04   9.6865e+04
  2.4037e-01   2.5690e-01  -1.3716e+00   1.7577e-01   2.3273e-03   8.1724e+04   3.1091e+05
  4.3133e-01   4.6059e-01  -7.8734e-01   1.7611e-01   1.9750e-03   2.5860e+05   9.8378e+05
  7.7400e-01   8.2598e-01  -2.0266e-01   1.7603e-01   1.9790e-03   8.1730e+05   3.1092e+06
  1.3889e+00   1.4837e+00   3.8353e-01   1.7583e-01   1.9560e-03   2.5821e+06   9.8231e+06
  2.4922e+00   2.6658e+00   9.6961e-01   1.7600e-01   1.9715e-03   8.1540e+06   3.1020e+07
  4.4721e+00   4.7883e+00   1.5552e+00   1.7609e-01   1.9526e-03   2.5832e+07   9.8271e+07
  8.0249e+00   8.5983e+00   2.1404e+00   1.7610e-01   1.9672e-03   8.2176e+07   3.1262e+08
  1.4400e+01   1.5430e+01   2.7250e+00   1.7618e-01   1.9426e-03   2.6127e+08   9.9396e+08
  2.5840e+01   2.7696e+01   3.3096e+00   1.7622e-01   1.9375e-03   8.3033e+08   3.1588e+09
  4.6368e+01   4.9687e+01   3.8939e+00   1.7626e-01   1.9358e-03   2.6305e+09   1.0007e+10
  8.3204e+01   8.9126e+01   4.4781e+00   1.7633e-01   1.9392e-03   8.2922e+09   3.1546e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7657e-01   1.8961e-03   2.5753e+10   9.7971e+10
