## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4327e-01  -1.9558e+00   1.7813e-01   1.3842e-04   1.0275e+06   3.8991e+06
  2.4037e-01   2.5686e-01  -1.3716e+00   1.7787e-01   8.6075e-05   3.2725e+06   1.2418e+07
  4.3133e-01   4.6065e-01  -7.8697e-01   1.7806e-01   8.6815e-05   1.0381e+07   3.9393e+07
  7.7400e-01   8.2713e-01  -2.0130e-01   1.7808e-01   5.6740e-05   3.2813e+07   1.2452e+08
  1.3889e+00   1.4856e+00   3.8433e-01   1.7809e-01   4.5699e-05   1.0344e+08   3.9251e+08
  2.4922e+00   2.6678e+00   9.6972e-01   1.7808e-01   4.8429e-05   3.2619e+08   1.2378e+09
  4.4721e+00   4.7894e+00   1.5548e+00   1.7808e-01   4.9240e-05   1.0331e+09   3.9204e+09
  8.0249e+00   8.5976e+00   2.1398e+00   1.7808e-01   4.6643e-05   3.2862e+09   1.2470e+10
  1.4400e+01   1.5428e+01   2.7244e+00   1.7808e-01   4.6281e-05   1.0453e+10   3.9665e+10
  2.5840e+01   2.7687e+01   3.3091e+00   1.7808e-01   4.5872e-05   3.3212e+10   1.2603e+11
  4.6368e+01   4.9682e+01   3.8937e+00   1.7807e-01   4.5578e-05   1.0530e+11   3.9959e+11
  8.3204e+01   8.9128e+01   4.4781e+00   1.7806e-01   4.4655e-05   3.3198e+11   1.2598e+12
  1.4930e+02   1.5978e+02   5.0617e+00   1.7806e-01   4.5147e-05   1.0302e+12   3.9093e+12
