## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4431e-01  -1.9484e+00   1.7452e-01   7.1870e-03   6.5565e+02   2.4960e+03
  2.4037e-01   2.5671e-01  -1.3728e+00   1.8053e-01   3.5971e-03   2.1400e+03   8.1420e+03
  4.3133e-01   4.6094e-01  -7.8734e-01   1.8033e-01   2.7385e-03   6.4783e+03   2.4647e+04
  7.7400e-01   8.2775e-01  -2.0153e-01   1.7921e-01   2.0555e-03   2.0195e+04   7.6817e+04
  1.3889e+00   1.4835e+00   3.8213e-01   1.7770e-01   1.8336e-03   6.3855e+04   2.4292e+05
  2.4922e+00   2.6638e+00   9.6790e-01   1.7707e-01   1.9717e-03   2.0268e+05   7.7104e+05
  4.4721e+00   4.7817e+00   1.5532e+00   1.7686e-01   2.0172e-03   6.4569e+05   2.4563e+06
  8.0249e+00   8.5870e+00   2.1387e+00   1.7641e-01   2.0095e-03   2.0601e+06   7.8372e+06
  1.4400e+01   1.5419e+01   2.7240e+00   1.7657e-01   2.0077e-03   6.5637e+06   2.4970e+07
  2.5840e+01   2.7673e+01   3.3088e+00   1.7648e-01   1.9800e-03   2.0881e+07   7.9434e+07
  4.6368e+01   4.9659e+01   3.8934e+00   1.7645e-01   1.9639e-03   6.6192e+07   2.5181e+08
  8.3204e+01   8.9083e+01   4.4777e+00   1.7642e-01   1.9456e-03   2.0847e+08   7.9306e+08
  1.4930e+02   1.5977e+02   5.0618e+00   1.7662e-01   1.8807e-03   6.4758e+08   2.4635e+09
