## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4335e-01  -1.9553e+00   1.8168e-01   9.2735e-04   6.8020e+03   9.7887e+04
  2.4037e-01   2.5694e-01  -1.3715e+00   1.7908e-01   5.1388e-04   2.1684e+04   3.1205e+05
  4.3133e-01   4.6060e-01  -7.8725e-01   1.7900e-01   3.6272e-04   6.8480e+04   9.8557e+05
  7.7400e-01   8.2624e-01  -2.0227e-01   1.7932e-01   1.9381e-04   2.1644e+05   3.1149e+06
  1.3889e+00   1.4840e+00   3.8375e-01   1.7901e-01   9.6454e-05   6.8332e+05   9.8344e+06
  2.4922e+00   2.6663e+00   9.6984e-01   1.7929e-01   7.9666e-05   2.1589e+06   3.1071e+07
  4.4721e+00   4.7888e+00   1.5554e+00   1.7929e-01   7.2506e-05   6.8442e+06   9.8500e+07
  8.0249e+00   8.5986e+00   2.1405e+00   1.7927e-01   5.1699e-05   2.1771e+07   3.1333e+08
  1.4400e+01   1.5431e+01   2.7250e+00   1.7929e-01   6.0484e-05   6.9229e+07   9.9634e+08
  2.5840e+01   2.7697e+01   3.3097e+00   1.7927e-01   5.5000e-05   2.2007e+08   3.1672e+09
  4.6368e+01   4.9692e+01   3.8940e+00   1.7927e-01   5.5620e-05   6.9726e+08   1.0035e+10
  8.3204e+01   8.9131e+01   4.4782e+00   1.7927e-01   5.0743e-05   2.1973e+09   3.1623e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7927e-01   5.0252e-05   6.8237e+09   9.8207e+10
