## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4334e-01  -1.9553e+00   1.7534e-01   2.0191e-03   6.6973e+03   9.6887e+04
  2.4037e-01   2.5689e-01  -1.3717e+00   1.7697e-01   2.3235e-03   2.1487e+04   3.1084e+05
  4.3133e-01   4.6058e-01  -7.8734e-01   1.7727e-01   1.9601e-03   6.8018e+04   9.8389e+05
  7.7400e-01   8.2597e-01  -2.0266e-01   1.7716e-01   2.0008e-03   2.1491e+05   3.1088e+06
  1.3889e+00   1.4837e+00   3.8351e-01   1.7704e-01   1.9666e-03   6.7904e+05   9.8228e+06
  2.4922e+00   2.6657e+00   9.6959e-01   1.7716e-01   1.9768e-03   2.1444e+06   3.1019e+07
  4.4721e+00   4.7884e+00   1.5553e+00   1.7724e-01   1.9511e-03   6.7942e+06   9.8282e+07
  8.0249e+00   8.5985e+00   2.1404e+00   1.7726e-01   1.9711e-03   2.1612e+07   3.1263e+08
  1.4400e+01   1.5430e+01   2.7250e+00   1.7734e-01   1.9474e-03   6.8710e+07   9.9392e+08
  2.5840e+01   2.7696e+01   3.3096e+00   1.7738e-01   1.9395e-03   2.1837e+08   3.1589e+09
  4.6368e+01   4.9687e+01   3.8939e+00   1.7742e-01   1.9387e-03   6.9179e+08   1.0007e+10
  8.3204e+01   8.9126e+01   4.4781e+00   1.7749e-01   1.9415e-03   2.1807e+09   3.1545e+10
  1.4930e+02   1.5981e+02   5.0620e+00   1.7772e-01   1.8984e-03   6.7730e+09   9.7971e+10
