## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4432e-01  -1.9483e+00   1.7586e-01   7.1795e-03   1.7217e+02   2.4940e+03
  2.4037e-01   2.5672e-01  -1.3728e+00   1.8164e-01   3.5862e-03   5.6294e+02   8.1450e+03
  4.3133e-01   4.6097e-01  -7.8727e-01   1.8152e-01   2.7263e-03   1.7038e+03   2.4650e+04
  7.7400e-01   8.2783e-01  -2.0145e-01   1.8037e-01   2.0646e-03   5.3125e+03   7.6826e+04
  1.3889e+00   1.4835e+00   3.8210e-01   1.7884e-01   1.8442e-03   1.6792e+04   2.4289e+05
  2.4922e+00   2.6638e+00   9.6788e-01   1.7826e-01   1.9866e-03   5.3308e+04   7.7108e+05
  4.4721e+00   4.7820e+00   1.5533e+00   1.7804e-01   2.0305e-03   1.6987e+05   2.4571e+06
  8.0249e+00   8.5877e+00   2.1388e+00   1.7750e-01   2.0123e-03   5.4184e+05   7.8378e+06
  1.4400e+01   1.5420e+01   2.7240e+00   1.7773e-01   2.0080e-03   1.7263e+06   2.4971e+07
  2.5840e+01   2.7672e+01   3.3088e+00   1.7762e-01   1.9781e-03   5.4910e+06   7.9426e+07
  4.6368e+01   4.9659e+01   3.8934e+00   1.7760e-01   1.9722e-03   1.7408e+07   2.5180e+08
  8.3204e+01   8.9083e+01   4.4777e+00   1.7756e-01   1.9503e-03   5.4826e+07   7.9307e+08
  1.4930e+02   1.5977e+02   5.0618e+00   1.7778e-01   1.8821e-03   1.7031e+08   2.4635e+09
