## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8251e-01   3.0976e-01  -1.1888e+00   3.2531e-02   1.4756e-03   1.7249e+05   3.0124e+05
  5.6368e-01   6.1748e-01  -4.9799e-01   2.9290e-02   5.4413e-04   6.8535e+05   1.1969e+06
  1.1247e+00   1.2326e+00   1.9414e-01   3.0857e-02   2.9213e-04   2.7418e+06   4.7882e+06
  2.2440e+00   2.4631e+00   8.8679e-01   3.0394e-02   2.6733e-04   1.0945e+07   1.9115e+07
  4.4774e+00   4.9193e+00   1.5784e+00   3.0584e-02   1.6025e-04   4.3559e+07   7.6072e+07
  8.9337e+00   9.8215e+00   2.2695e+00   3.0284e-02   1.7593e-04   1.7298e+08   3.0209e+08
  1.7825e+01   1.9600e+01   2.9601e+00   3.0423e-02   1.5318e-04   6.8441e+08   1.1953e+09
  3.5566e+01   3.9104e+01   3.6503e+00   3.0367e-02   1.6462e-04   2.6920e+09   4.7014e+09
  7.0963e+01   7.7970e+01   4.3402e+00   3.0343e-02   1.6251e-04   1.0482e+10   1.8305e+10
  1.4159e+02   1.5536e+02   5.0295e+00   3.0341e-02   1.7053e-04   3.9976e+10   6.9814e+10
