## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8251e-01   3.1032e-01  -1.1874e+00   3.9982e-03   1.2375e-02   4.5409e+03   8.2180e+03
  5.6368e-01   6.1927e-01  -4.9653e-01   1.4117e-02   6.2647e-03   1.7341e+04   3.1385e+04
  1.1247e+00   1.2353e+00   1.9446e-01   5.3051e-03   4.7309e-03   6.9874e+04   1.2649e+05
  2.2440e+00   2.4593e+00   8.8377e-01  -4.4457e-04   2.5060e-03   2.8090e+05   5.0844e+05
  4.4774e+00   4.9110e+00   1.5759e+00  -1.6780e-03   2.6692e-03   1.1184e+06   2.0243e+06
  8.9337e+00   9.8113e+00   2.2681e+00   1.2873e-03   2.8494e-03   4.4533e+06   8.0609e+06
  1.7825e+01   1.9587e+01   2.9592e+00   1.4546e-03   2.5624e-03   1.7677e+07   3.1995e+07
  3.5566e+01   3.9085e+01   3.6499e+00   1.3693e-03   2.4702e-03   6.9907e+07   1.2654e+08
  7.0963e+01   7.7953e+01   4.3401e+00   9.7644e-04   2.3974e-03   2.7378e+08   4.9556e+08
  1.4159e+02   1.5539e+02   5.0297e+00   1.3344e-04   1.8836e-03   1.0519e+09   1.9041e+09
