## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8251e-01   3.0981e-01  -1.1886e+00   5.2933e-02   2.1442e-02   2.6430e+05   4.7854e+05
  5.6368e-01   6.1733e-01  -4.9823e-01   5.3384e-02   2.1225e-02   1.0518e+06   1.9043e+06
  1.1247e+00   1.2324e+00   1.9399e-01   5.2912e-02   2.1327e-02   4.2006e+06   7.6053e+06
  2.2440e+00   2.4630e+00   8.8667e-01   5.2881e-02   2.1294e-02   1.6789e+07   3.0398e+07
  4.4774e+00   4.9199e+00   1.5784e+00   5.2936e-02   2.1262e-02   6.6899e+07   1.2112e+08
  8.9337e+00   9.8230e+00   2.2695e+00   5.2963e-02   2.1287e-02   2.6605e+08   4.8170e+08
  1.7825e+01   1.9604e+01   2.9602e+00   5.3304e-02   2.1236e-02   1.0560e+09   1.9118e+09
  3.5566e+01   3.9116e+01   3.6506e+00   5.3780e-02   2.1148e-02   4.1757e+09   7.5603e+09
  7.0963e+01   7.7998e+01   4.3405e+00   5.4709e-02   2.1047e-02   1.6368e+10   2.9635e+10
  1.4159e+02   1.5544e+02   5.0300e+00   5.6283e-02   2.1018e-02   6.2990e+10   1.1405e+11
