## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8251e-01   3.0969e-01  -1.1887e+00   3.0526e-02   2.4286e-04   1.0068e+07   1.7583e+07
  5.6368e-01   6.1809e-01  -4.9686e-01   3.0414e-02   1.4816e-04   4.0116e+07   7.0058e+07
  1.1247e+00   1.2348e+00   1.9538e-01   3.0247e-02   1.2863e-04   1.6019e+08   2.7976e+08
  2.2440e+00   2.4657e+00   8.8688e-01   3.0346e-02   1.4171e-04   6.3796e+08   1.1141e+09
  4.4774e+00   4.9217e+00   1.5779e+00   3.0303e-02   1.4759e-04   2.5370e+09   4.4307e+09
  8.9337e+00   9.8219e+00   2.2687e+00   3.0298e-02   1.4820e-04   1.0072e+10   1.7590e+10
  1.7825e+01   1.9599e+01   2.9594e+00   3.0305e-02   1.4451e-04   3.9872e+10   6.9632e+10
  3.5566e+01   3.9091e+01   3.6497e+00   3.0318e-02   1.4910e-04   1.5680e+11   2.7384e+11
  7.0963e+01   7.7945e+01   4.3397e+00   3.0347e-02   1.5847e-04   6.1100e+11   1.0671e+12
  1.4159e+02   1.5534e+02   5.0293e+00   3.0357e-02   1.6289e-04   2.3366e+12   4.0807e+12
