## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8251e-01   3.1032e-01  -1.1874e+00   5.6931e-02   2.5806e-02   4.5409e+03   8.2180e+03
  5.6368e-01   6.1927e-01  -4.9653e-01   6.7501e-02   2.0795e-02   1.7341e+04   3.1385e+04
  1.1247e+00   1.2353e+00   1.9446e-01   5.8217e-02   2.1186e-02   6.9874e+04   1.2649e+05
  2.2440e+00   2.4593e+00   8.8377e-01   5.2436e-02   2.1927e-02   2.8090e+05   5.0844e+05
  4.4774e+00   4.9110e+00   1.5759e+00   5.1258e-02   2.0854e-02   1.1184e+06   2.0243e+06
  8.9337e+00   9.8113e+00   2.2681e+00   5.4250e-02   2.1458e-02   4.4533e+06   8.0609e+06
  1.7825e+01   1.9587e+01   2.9592e+00   5.4759e-02   2.1170e-02   1.7677e+07   3.1995e+07
  3.5566e+01   3.9085e+01   3.6499e+00   5.5149e-02   2.0998e-02   6.9907e+07   1.2654e+08
  7.0963e+01   7.7953e+01   4.3401e+00   5.5685e-02   2.0756e-02   2.7378e+08   4.9556e+08
  1.4159e+02   1.5539e+02   5.0297e+00   5.6417e-02   2.0714e-02   1.0519e+09   1.9041e+09
