## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4393e-01  -1.9512e+00   5.2076e-01   2.2055e-04   5.7110e+05   2.6901e+06
  2.4303e-01   2.5996e-01  -1.3593e+00   5.2093e-01   2.1064e-04   1.8621e+06   8.7713e+06
  4.3931e-01   4.7004e-01  -7.6631e-01   5.2100e-01   6.8134e-05   6.0949e+06   2.8710e+07
  7.9411e-01   8.5086e-01  -1.7253e-01   5.2093e-01   4.3813e-05   1.9985e+07   9.4139e+07
  1.4355e+00   1.5397e+00   4.2059e-01   5.2100e-01   2.9646e-05   6.5306e+07   3.0762e+08
  2.5948e+00   2.7846e+00   1.0131e+00   5.2100e-01   1.6529e-05   2.1286e+08   1.0027e+09
  4.6904e+00   5.0354e+00   1.6053e+00   5.2101e-01   2.2587e-05   6.9199e+08   3.2596e+09
  8.4785e+00   9.1052e+00   2.1973e+00   5.2101e-01   1.7145e-05   2.2455e+09   1.0577e+10
  1.5326e+01   1.6460e+01   2.7891e+00   5.2101e-01   1.6773e-05   7.2756e+09   3.4271e+10
  2.7704e+01   2.9746e+01   3.3807e+00   5.2102e-01   1.6277e-05   2.3536e+10   1.1086e+11
  5.0078e+01   5.3738e+01   3.9720e+00   5.2101e-01   1.4568e-05   7.5280e+10   3.5460e+11
  9.0523e+01   9.7041e+01   4.5629e+00   5.2102e-01   1.3037e-05   2.3714e+11   1.1170e+12
  1.6363e+02   1.7535e+02   5.1545e+00   5.2102e-01   1.2854e-05   7.3341e+11   3.4547e+12
