## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4406e-01  -1.9505e+00   5.1953e-01   1.4703e-02   1.0055e+06   4.7359e+06
  2.4303e-01   2.6017e-01  -1.3590e+00   5.1932e-01   1.4876e-02   3.2756e+06   1.5429e+07
  4.3931e-01   4.7005e-01  -7.6682e-01   5.1938e-01   1.4850e-02   1.0705e+07   5.0420e+07
  7.9411e-01   8.5041e-01  -1.7345e-01   5.1940e-01   1.4828e-02   3.5114e+07   1.6539e+08
  1.4355e+00   1.5392e+00   4.1998e-01   5.1944e-01   1.4829e-02   1.1509e+08   5.4211e+08
  2.5948e+00   2.7845e+00   1.0127e+00   5.1946e-01   1.4817e-02   3.7628e+08   1.7724e+09
  4.6904e+00   5.0350e+00   1.6049e+00   5.1971e-01   1.4805e-02   1.2272e+09   5.7805e+09
  8.4785e+00   9.1028e+00   2.1967e+00   5.2026e-01   1.4781e-02   3.9870e+09   1.8780e+10
  1.5326e+01   1.6458e+01   2.7888e+00   5.2090e-01   1.4758e-02   1.2931e+10   6.0908e+10
  2.7704e+01   2.9744e+01   3.3805e+00   5.2134e-01   1.4717e-02   4.2002e+10   1.9783e+11
  5.0078e+01   5.3739e+01   3.9720e+00   5.2253e-01   1.4671e-02   1.3493e+11   6.3554e+11
  9.0523e+01   9.7083e+01   4.5634e+00   5.2445e-01   1.4611e-02   4.2900e+11   2.0207e+12
  1.6363e+02   1.7544e+02   5.1550e+00   5.2700e-01   1.4580e-02   1.3418e+12   6.3199e+12
