## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4391e-01  -1.9512e+00   5.2108e-01   3.7340e-05   2.2440e+07   1.0570e+08
  2.4303e-01   2.6011e-01  -1.3587e+00   5.2103e-01   2.6989e-05   7.3250e+07   3.4504e+08
  4.3931e-01   4.7057e-01  -7.6540e-01   5.2103e-01   2.4223e-05   2.4004e+08   1.1307e+09
  7.9411e-01   8.5160e-01  -1.7217e-01   5.2101e-01   1.4729e-05   7.8552e+08   3.7002e+09
  1.4355e+00   1.5404e+00   4.2038e-01   5.2102e-01   1.8310e-05   2.5642e+09   1.2079e+10
  2.5948e+00   2.7852e+00   1.0125e+00   5.2102e-01   1.7469e-05   8.3525e+09   3.9344e+10
  4.6904e+00   5.0348e+00   1.6044e+00   5.2101e-01   1.7675e-05   2.7155e+10   1.2791e+11
  8.4785e+00   9.1022e+00   2.1965e+00   5.2101e-01   1.6033e-05   8.8177e+10   4.1535e+11
  1.5326e+01   1.6455e+01   2.7885e+00   5.2101e-01   1.6091e-05   2.8599e+11   1.3471e+12
  2.7704e+01   2.9737e+01   3.3802e+00   5.2101e-01   1.6367e-05   9.2526e+11   4.3584e+12
  5.0078e+01   5.3732e+01   3.9718e+00   5.2101e-01   1.6108e-05   2.9635e+12   1.3959e+13
  9.0523e+01   9.7043e+01   4.5629e+00   5.2101e-01   1.4528e-05   9.3498e+12   4.4042e+13
  1.6363e+02   1.7536e+02   5.1546e+00   5.2101e-01   1.4195e-05   2.8989e+13   1.3655e+14
