## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4960e-01  -1.9116e+00   5.0866e-01   1.5102e-02   1.7906e+04   8.4367e+04
  2.4303e-01   2.6050e-01  -1.3582e+00   5.0760e-01   1.5184e-02   8.5848e+04   4.0437e+05
  4.3931e-01   4.7009e-01  -7.6766e-01   5.1968e-01   1.5243e-02   2.7162e+05   1.2794e+06
  7.9411e-01   8.5014e-01  -1.7463e-01   5.2093e-01   1.4848e-02   8.8149e+05   4.1519e+06
  1.4355e+00   1.5372e+00   4.1827e-01   5.1798e-01   1.4802e-02   2.9182e+06   1.3745e+07
  2.5948e+00   2.7802e+00   1.0110e+00   5.1775e-01   1.4692e-02   9.5520e+06   4.4992e+07
  4.6904e+00   5.0301e+00   1.6040e+00   5.1818e-01   1.4647e-02   3.1137e+07   1.4666e+08
  8.4785e+00   9.0966e+00   2.1963e+00   5.1901e-01   1.4629e-02   1.0098e+08   4.7566e+08
  1.5326e+01   1.6451e+01   2.7886e+00   5.1978e-01   1.4592e-02   3.2715e+08   1.5409e+09
  2.7704e+01   2.9735e+01   3.3803e+00   5.2031e-01   1.4544e-02   1.0618e+09   5.0013e+09
  5.0078e+01   5.3734e+01   3.9719e+00   5.2167e-01   1.4500e-02   3.4104e+09   1.6063e+10
  9.0523e+01   9.7057e+01   4.5631e+00   5.2370e-01   1.4421e-02   1.0817e+10   5.0949e+10
  1.6363e+02   1.7541e+02   5.1549e+00   5.2648e-01   1.4399e-02   3.3800e+10   1.5920e+11
