## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4393e-01  -1.9512e+00   5.2069e-01   3.0911e-04   5.6713e+05   2.6906e+06
  2.4303e-01   2.5996e-01  -1.3593e+00   5.2087e-01   2.1587e-04   1.8486e+06   8.7702e+06
  4.3931e-01   4.7003e-01  -7.6631e-01   5.2091e-01   4.4503e-05   6.0515e+06   2.8709e+07
  7.9411e-01   8.5086e-01  -1.7254e-01   5.2090e-01   3.8357e-05   1.9842e+07   9.4135e+07
  1.4355e+00   1.5396e+00   4.2059e-01   5.2093e-01   3.7317e-05   6.4840e+07   3.0761e+08
  2.5948e+00   2.7847e+00   1.0131e+00   5.2095e-01   2.3807e-05   2.1136e+08   1.0027e+09
  4.6904e+00   5.0355e+00   1.6053e+00   5.2096e-01   2.2767e-05   6.8705e+08   3.2595e+09
  8.4785e+00   9.1048e+00   2.1973e+00   5.2095e-01   2.2669e-05   2.2292e+09   1.0575e+10
  1.5326e+01   1.6460e+01   2.7891e+00   5.2096e-01   2.1556e-05   7.2247e+09   3.4275e+10
  2.7704e+01   2.9746e+01   3.3807e+00   5.2096e-01   2.0605e-05   2.3367e+10   1.1086e+11
  5.0078e+01   5.3738e+01   3.9720e+00   5.2095e-01   1.9354e-05   7.4744e+10   3.5460e+11
  9.0523e+01   9.7037e+01   4.5629e+00   5.2096e-01   1.8554e-05   2.3541e+11   1.1168e+12
  1.6363e+02   1.7535e+02   5.1545e+00   5.2096e-01   1.8112e-05   7.2832e+11   3.4553e+12
