## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4406e-01  -1.9505e+00   5.1941e-01   1.1864e-02   9.9834e+05   4.7360e+06
  2.4303e-01   2.6017e-01  -1.3590e+00   5.1915e-01   1.2045e-02   3.2523e+06   1.5428e+07
  4.3931e-01   4.7005e-01  -7.6682e-01   5.1924e-01   1.2007e-02   1.0628e+07   5.0420e+07
  7.9411e-01   8.5041e-01  -1.7345e-01   5.1924e-01   1.1977e-02   3.4864e+07   1.6539e+08
  1.4355e+00   1.5392e+00   4.1998e-01   5.1929e-01   1.1988e-02   1.1428e+08   5.4212e+08
  2.5948e+00   2.7845e+00   1.0127e+00   5.1930e-01   1.1977e-02   3.7360e+08   1.7723e+09
  4.6904e+00   5.0349e+00   1.6049e+00   5.1952e-01   1.1965e-02   1.2185e+09   5.7803e+09
  8.4785e+00   9.1028e+00   2.1967e+00   5.1999e-01   1.1936e-02   3.9586e+09   1.8779e+10
  1.5326e+01   1.6457e+01   2.7887e+00   5.2053e-01   1.1907e-02   1.2838e+10   6.0900e+10
  2.7704e+01   2.9742e+01   3.3805e+00   5.2090e-01   1.1862e-02   4.1696e+10   1.9780e+11
  5.0078e+01   5.3739e+01   3.9720e+00   5.2191e-01   1.1797e-02   1.3398e+11   6.3557e+11
  9.0523e+01   9.7080e+01   4.5633e+00   5.2344e-01   1.1710e-02   4.2586e+11   2.0202e+12
  1.6363e+02   1.7545e+02   5.1551e+00   5.2562e-01   1.1639e-02   1.3328e+12   6.3225e+12
