## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4960e-01  -1.9116e+00   5.0876e-01   1.2188e-02   1.7777e+04   8.4365e+04
  2.4303e-01   2.6050e-01  -1.3581e+00   5.0746e-01   1.2292e-02   8.5238e+04   4.0438e+05
  4.3931e-01   4.7009e-01  -7.6767e-01   5.1939e-01   1.2401e-02   2.6967e+05   1.2793e+06
  7.9411e-01   8.5014e-01  -1.7463e-01   5.2066e-01   1.2018e-02   8.7525e+05   4.1521e+06
  1.4355e+00   1.5372e+00   4.1823e-01   5.1775e-01   1.1960e-02   2.8969e+06   1.3743e+07
  2.5948e+00   2.7802e+00   1.0110e+00   5.1754e-01   1.1886e-02   9.4847e+06   4.4995e+07
  4.6904e+00   5.0302e+00   1.6040e+00   5.1802e-01   1.1863e-02   3.0916e+07   1.4666e+08
  8.4785e+00   9.0966e+00   2.1963e+00   5.1887e-01   1.1827e-02   1.0026e+08   4.7564e+08
  1.5326e+01   1.6451e+01   2.7886e+00   5.1966e-01   1.1789e-02   3.2483e+08   1.5409e+09
  2.7704e+01   2.9734e+01   3.3803e+00   5.2013e-01   1.1743e-02   1.0542e+09   5.0009e+09
  5.0078e+01   5.3733e+01   3.9719e+00   5.2132e-01   1.1685e-02   3.3858e+09   1.6062e+10
  9.0523e+01   9.7051e+01   4.5631e+00   5.2303e-01   1.1596e-02   1.0738e+10   5.0939e+10
  1.6363e+02   1.7542e+02   5.1549e+00   5.2534e-01   1.1527e-02   3.3572e+10   1.5926e+11
