## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4403e-01  -1.9507e+00   7.4014e-01   6.1756e-04   3.1845e+05   1.0286e+06
  2.4303e-01   2.6011e-01  -1.3592e+00   7.3950e-01   2.8491e-04   1.0359e+06   3.3460e+06
  4.3931e-01   4.6986e-01  -7.6712e-01   7.3975e-01   1.9322e-04   3.3658e+06   1.0871e+07
  7.9411e-01   8.4988e-01  -1.7391e-01   7.3984e-01   1.2251e-04   1.0958e+07   3.5392e+07
  1.4355e+00   1.5379e+00   4.1933e-01   7.3990e-01   1.0797e-04   3.5402e+07   1.1435e+08
  2.5948e+00   2.7805e+00   1.0115e+00   7.3979e-01   5.5410e-05   1.1281e+08   3.6436e+08
  4.6904e+00   5.0249e+00   1.6030e+00   7.3986e-01   5.6107e-05   3.5337e+08   1.1414e+09
  8.4785e+00   9.0966e+00   2.1962e+00   7.3984e-01   6.3920e-05   1.1095e+09   3.5837e+09
  1.5326e+01   1.6452e+01   2.7885e+00   7.3984e-01   6.1953e-05   3.5592e+09   1.1496e+10
  2.7704e+01   2.9734e+01   3.3802e+00   7.3983e-01   6.2775e-05   1.1451e+10   3.6986e+10
  5.0078e+01   5.3721e+01   3.9716e+00   7.3982e-01   6.3427e-05   3.6535e+10   1.1801e+11
  9.0523e+01   9.7017e+01   4.5626e+00   7.3983e-01   6.2305e-05   1.1508e+11   3.7171e+11
  1.6363e+02   1.7532e+02   5.1543e+00   7.3982e-01   6.0229e-05   3.5602e+11   1.1499e+12
