## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4768e-01  -1.9249e+00   1.2673e-01   4.7363e-03   4.9845e+04   1.6135e+05
  2.4303e-01   2.6003e-01  -1.3600e+00   6.0995e-03   9.6872e-04   1.9952e+05   6.4457e+05
  4.3931e-01   4.6995e-01  -7.6774e-01   6.9407e-03   7.4000e-04   6.2997e+05   2.0349e+06
  7.9411e-01   8.4955e-01  -1.7504e-01   6.2130e-03   4.2137e-04   2.0283e+06   6.5517e+06
  1.4355e+00   1.5364e+00   4.1793e-01   2.2992e-03   2.5529e-04   6.5930e+06   2.1296e+07
  2.5948e+00   2.7780e+00   1.0103e+00   1.9334e-03   4.9003e-04   2.1041e+07   6.7967e+07
  4.6904e+00   5.0222e+00   1.6024e+00   2.1944e-03   5.8686e-04   6.5966e+07   2.1308e+08
  8.4785e+00   9.0918e+00   2.1957e+00   2.6315e-03   6.6453e-04   2.0699e+08   6.6861e+08
  1.5326e+01   1.6448e+01   2.7882e+00   2.8142e-03   7.0951e-04   6.6381e+08   2.1442e+09
  2.7704e+01   2.9728e+01   3.3800e+00   2.9187e-03   7.5441e-04   2.1411e+09   6.9161e+09
  5.0078e+01   5.3723e+01   3.9716e+00   3.0869e-03   7.7338e-04   6.8566e+09   2.2148e+10
  9.0523e+01   9.7040e+01   4.5629e+00   3.2508e-03   7.7252e-04   2.1721e+10   7.0162e+10
  1.6363e+02   1.7540e+02   5.1548e+00   3.1895e-03   7.5908e-04   6.7884e+10   2.1928e+11
