## {'min_sep': 0.1, 'max_sep': 220.0, 'bin_size': 0.6, 'sep_units': 'arcmin', 'var_method': 'sample', 'coords': 'spherical', 'metric': 'Euclidean', 'corr': 'NK'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4382e-01  -1.9516e+00   6.9581e-01   1.9685e-04   1.6610e+06   5.4192e+06
  2.4303e-01   2.5996e-01  -1.3589e+00   6.9552e-01   1.1495e-04   5.4232e+06   1.7694e+07
  4.3931e-01   4.7040e-01  -7.6527e-01   6.9564e-01   7.0607e-05   1.7782e+07   5.8016e+07
  7.9411e-01   8.5141e-01  -1.7177e-01   6.9564e-01   4.0403e-05   5.8233e+07   1.8999e+08
  1.4355e+00   1.5402e+00   4.2100e-01   6.9568e-01   3.1323e-05   1.9016e+08   6.2041e+08
  2.5948e+00   2.7852e+00   1.0133e+00   6.9570e-01   3.0525e-05   6.1956e+08   2.0214e+09
  4.6904e+00   5.0366e+00   1.6054e+00   6.9570e-01   2.8113e-05   2.0143e+09   6.5719e+09
  8.4785e+00   9.1059e+00   2.1974e+00   6.9570e-01   2.6207e-05   6.5329e+09   2.1314e+10
  1.5326e+01   1.6460e+01   2.7891e+00   6.9571e-01   2.6923e-05   2.1172e+10   6.9076e+10
  2.7704e+01   2.9747e+01   3.3807e+00   6.9571e-01   2.8514e-05   6.8475e+10   2.2341e+11
  5.0078e+01   5.3739e+01   3.9720e+00   6.9571e-01   2.9474e-05   2.1905e+11   7.1466e+11
  9.0523e+01   9.7038e+01   4.5629e+00   6.9571e-01   2.8136e-05   6.8987e+11   2.2508e+12
  1.6363e+02   1.7535e+02   5.1545e+00   6.9571e-01   2.7393e-05   2.1345e+12   6.9641e+12
